src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-18 19:00,-4,29,0,13,Overcast,1023,37,92,0,60,13
wunder,hourly,2016-03-17 17:00,-3,295,0,6,Overcast,1011,42,91,0,53,24
wunder,hourly,2016-03-17 21:00,-3,305,0,15,Mostly Cloudy,1015,38,78,0,66,10
wunder,hourly,2016-03-17 10:00,-2,281,0,0,Partly Cloudy,1009,40,30,0,62,26
wunder,hourly,2016-03-18 21:00,-4,30,0,3,Overcast,1024,34,83,0,66,11
wunder,hourly,2016-03-18 01:00,-2,14,0,15,Mostly Cloudy,1016,34,71,0,81,8
wunder,hourly,2016-03-18 15:00,-5,36,0,8,Overcast,1022,37,98,0,55,13
wunder,hourly,2016-03-18 06:00,-4,31,0,8,Partly Cloudy,1019,30,53,0,81,10
wunder,hourly,2016-03-17 16:00,-3,294,0,38,Chance of Rain,1011,42,93,0,54,26
wunder,hourly,2016-03-18 09:00,-4,36,0,15,Overcast,1021,31,85,0,77,11
wunder,hourly,2016-03-17 12:00,-2,283,0,4,Mostly Cloudy,1009,42,62,0,57,27
wunder,hourly,2016-03-17 19:00,-3,304,0,3,Overcast,1013,41,81,0,56,13
wunder,hourly,2016-03-17 20:00,-3,304,0,15,Overcast,1014,39,82,0,61,11
wunder,hourly,2016-03-18 07:00,-4,26,0,6,Partly Cloudy,1020,30,57,0,80,10
wunder,hourly,2016-03-18 17:00,-5,35,0,6,Overcast,1023,37,98,0,57,13
wunder,hourly,2016-03-18 04:00,-3,28,0,6,Partly Cloudy,1018,32,53,0,83,6
wunder,hourly,2016-03-18 14:00,-5,34,0,8,Overcast,1022,37,97,0,57,13
wunder,hourly,2016-03-18 12:00,-4,42,0,10,Overcast,1022,36,95,0,61,13
wunder,hourly,2016-03-17 22:00,-2,303,0,15,Mostly Cloudy,1015,36,67,0,72,8
wunder,hourly,2016-03-17 14:00,-3,289,0,42,Chance of Rain,1010,42,83,0,54,26
wunder,hourly,2016-03-18 08:00,-4,25,0,17,Mostly Cloudy,1020,30,71,0,78,10
wunder,hourly,2016-03-18 16:00,-5,32,0,10,Overcast,1022,37,99,0,55,13
wunder,hourly,2016-03-18 02:00,-2,30,0,15,Mostly Cloudy,1017,33,76,0,82,6
wunder,hourly,2016-03-18 11:00,-4,43,0,11,Overcast,1022,35,94,0,66,13
wunder,hourly,2016-03-17 11:00,-2,281,0,0,Partly Cloudy,1009,41,47,0,59,29
wunder,hourly,2016-03-17 23:00,-2,330,0,15,Mostly Cloudy,1016,35,71,0,76,8
wunder,hourly,2016-03-17 15:00,-3,292,0,45,Chance of Rain,1010,42,88,0,54,26
wunder,hourly,2016-03-17 13:00,-3,285,0,17,Overcast,1009,42,80,0,55,27
wunder,hourly,2016-03-18 10:00,-4,40,0,13,Overcast,1022,33,93,0,72,11
wunder,hourly,2016-03-18 00:00,-2,346,0,30,Snow Showers,1016,35,59,0,79,8
wunder,hourly,2016-03-18 20:00,-4,29,0,3,Overcast,1024,35,92,0,63,11
wunder,hourly,2016-03-18 13:00,-4,38,0,9,Overcast,1022,37,96,0,59,13
wunder,hourly,2016-03-17 18:00,-3,300,0,7,Overcast,1012,42,84,0,53,16
wunder,hourly,2016-03-18 18:00,-4,32,0,8,Overcast,1023,37,96,0,58,13
wunder,hourly,2016-03-18 03:00,-2,39,0,5,Partly Cloudy,1017,33,58,0,82,6
wunder,hourly,2016-03-18 05:00,-3,35,0,5,Partly Cloudy,1019,31,51,0,85,10
