src,type,key,precipAccumulation,precipType,cloudCover,humidity,visibility,summary,pressure,windSpeed,temperature,time,windBearing,precipIntensity,dewPoint,precipProbability,temperatureMin,temperatureMax
forecast.io,hourly,2016-03-14 09:00,NA,rain,0.99,0.94,3.31,Overcast,1004.46,4.25,48.33,1457964000,155,0.004,46.76,0.15,NA,NA
forecast.io,daily,2016-03-16 00:00,NA,rain,0.39,0.68,10,"Light rain starting in the afternoon, continuing until evening.",1004.14,9.79,NA,1458104400,252,0.0022,34.63,0.52,37.23,55.87
forecast.io,hourly,2016-03-14 14:00,NA,NA,0.99,0.83,8.81,Overcast,1003.73,5.14,55.75,1457982000,148,0,50.68,0,NA,NA
forecast.io,hourly,2016-03-15 22:00,NA,rain,0.57,0.73,10,Partly Cloudy,1002.68,8.41,44.82,1458097200,260,0.0014,36.81,0.03,NA,NA
forecast.io,hourly,2016-03-14 03:00,NA,rain,1,0.93,5.61,Overcast,1004.76,4.65,48.84,1457942400,153,0.0039,46.82,0.15,NA,NA
forecast.io,hourly,2016-03-14 11:00,NA,NA,1,0.9,5.08,Overcast,1004.43,4.36,50.91,1457971200,158,0,48.05,0,NA,NA
forecast.io,daily,2016-03-14 00:00,NA,rain,0.99,0.89,6.59,Light rain in the morning and overnight.,1003.92,5.64,NA,1457931600,143,0.0043,49.49,0.59,46.31,60.76
forecast.io,hourly,2016-03-14 20:00,NA,rain,0.98,0.87,8.36,Overcast,1002.6,8.09,58.06,1458003600,127,0.0016,54.06,0.03,NA,NA
forecast.io,hourly,2016-03-15 01:00,NA,rain,1,0.95,9.09,Light Rain,1003.12,10.13,50.54,1458021600,121,0.0374,49.14,0.69,NA,NA
forecast.io,current,2016-03-13 22:59,NA,NA,1,0.81,9.72,Overcast,1005.92,4.08,51.36,1457927950,152,0,45.7,0,NA,NA
forecast.io,hourly,2016-03-15 10:00,NA,rain,0.99,0.94,2,Rain,998.92,11.98,54.13,1458054000,129,0.0647,52.35,0.75,NA,NA
forecast.io,hourly,2016-03-15 21:00,NA,rain,0.71,0.74,10,Mostly Cloudy,1002.24,10.48,45.53,1458093600,265,0.0016,37.64,0.03,NA,NA
forecast.io,hourly,2016-03-14 01:00,NA,rain,1,0.88,7.09,Drizzle,1005.08,4.63,50.03,1457935200,155,0.0072,46.65,0.35,NA,NA
forecast.io,hourly,2016-03-15 15:00,NA,rain,0.98,0.81,8.19,Light Rain,996.28,11.63,53.49,1458072000,242,0.0298,47.71,0.66,NA,NA
forecast.io,hourly,2016-03-15 17:00,NA,NA,1,0.77,7.9,Overcast,998.06,13.81,48.89,1458079200,254,0,42.12,0,NA,NA
forecast.io,hourly,2016-03-15 11:00,NA,rain,0.98,0.91,4.28,Rain,997.79,9.02,55.42,1458057600,142,0.0773,52.89,0.77,NA,NA
forecast.io,hourly,2016-03-14 13:00,NA,NA,0.99,0.85,8.67,Overcast,1003.98,5.15,53.99,1457978400,153,0,49.61,0,NA,NA
forecast.io,hourly,2016-03-14 19:00,NA,rain,0.98,0.84,9.9,Overcast,1002.46,7.99,59.48,1458000000,129,0.001,54.65,0.01,NA,NA
forecast.io,hourly,2016-03-14 22:00,NA,rain,0.99,0.91,7.07,Drizzle,1003.16,9.38,55.6,1458010800,126,0.0067,52.97,0.32,NA,NA
forecast.io,daily,2016-03-17 00:00,NA,rain,0.8,0.77,10,Light snow in the morning and overnight.,1012.7,9.9,NA,1458190800,12,0.0014,30.45,0.1,32.81,43.29
forecast.io,hourly,2016-03-15 03:00,NA,rain,0.86,0.97,10,Light Rain,1001.59,10.41,48.67,1458028800,124,0.0199,47.74,0.61,NA,NA
forecast.io,daily,2016-03-13 00:00,NA,rain,0.78,0.75,9.1,Drizzle overnight.,1009.31,4.49,NA,1457848800,140,0.0014,43.79,0.12,48.1,54.14
forecast.io,hourly,2016-03-14 10:00,NA,NA,1,0.93,4.38,Overcast,1004.54,4.27,49.33,1457967600,154,0,47.38,0,NA,NA
forecast.io,hourly,2016-03-15 18:00,NA,NA,1,0.76,9.1,Overcast,999.45,13.7,47.28,1458082800,264,0,40.17,0,NA,NA
forecast.io,hourly,2016-03-14 16:00,NA,NA,0.97,0.8,9.19,Overcast,1003.23,6.98,59.66,1457989200,141,0,53.33,0,NA,NA
forecast.io,hourly,2016-03-15 13:00,NA,rain,0.97,0.85,10,Rain,995.87,6.31,57,1458064800,211,0.0846,52.62,0.78,NA,NA
forecast.io,hourly,2016-03-14 06:00,NA,rain,0.99,0.95,2.92,Light Rain,1004.31,4.02,46.31,1457953200,161,0.0124,44.97,0.54,NA,NA
forecast.io,daily,2016-03-15 00:00,NA,rain,0.91,0.87,7.86,Rain until afternoon.,999.86,4.65,NA,1458018000,181,0.0272,46.47,0.78,43.79,57
forecast.io,daily,2016-03-19 00:00,0.505,snow,0.78,0.71,NA,Mixed precipitation in the afternoon and overnight.,1018.11,2.72,NA,1458363600,322,0.0028,26.86,0.22,30.07,42.7
forecast.io,hourly,2016-03-15 06:00,NA,rain,0.93,0.97,6.39,Drizzle,1000.15,12.02,49.48,1458039600,118,0.008,48.68,0.41,NA,NA
forecast.io,hourly,2016-03-15 16:00,NA,rain,0.99,0.79,7.3,Overcast,997,13.95,51.04,1458075600,248,0.0048,44.7,0.2,NA,NA
forecast.io,hourly,2016-03-15 12:00,NA,rain,0.97,0.88,7.73,Rain,996.56,6.61,56.55,1458061200,178,0.0864,53.07,0.78,NA,NA
forecast.io,hourly,2016-03-14 21:00,NA,rain,0.98,0.89,7.97,Overcast,1002.91,9.03,56.9,1458007200,126,0.0028,53.71,0.09,NA,NA
forecast.io,hourly,2016-03-14 18:00,NA,NA,0.97,0.81,9.32,Overcast,1002.61,7.67,60.49,1457996400,131,0,54.73,0,NA,NA
forecast.io,hourly,2016-03-14 04:00,NA,rain,1,0.94,4.8,Drizzle,1004.65,4.93,47.71,1457946000,160,0.0054,46.09,0.24,NA,NA
forecast.io,hourly,2016-03-14 15:00,NA,NA,0.98,0.81,8.86,Overcast,1003.47,5.97,58.12,1457985600,145,0,52.39,0,NA,NA
forecast.io,hourly,2016-03-15 14:00,NA,rain,0.97,0.83,9.69,Rain,995.85,7.96,55.73,1458068400,233,0.0629,50.61,0.75,NA,NA
forecast.io,hourly,2016-03-15 02:00,NA,rain,0.94,0.96,9.67,Light Rain,1002.56,10.02,49.78,1458025200,122,0.0318,48.63,0.67,NA,NA
forecast.io,hourly,2016-03-14 07:00,NA,rain,0.98,0.95,2.13,Light Rain,1004.22,3.65,46.75,1457956800,161,0.0115,45.42,0.53,NA,NA
forecast.io,hourly,2016-03-13 22:00,NA,NA,1,0.8,9.81,Overcast,1006.3,3.96,51.93,1457924400,145,0,45.89,0,NA,NA
forecast.io,hourly,2016-03-15 05:00,NA,rain,0.85,0.97,8.49,Drizzle,1000.39,10.85,49.02,1458036000,122,0.0079,48.21,0.4,NA,NA
forecast.io,hourly,2016-03-15 20:00,NA,rain,0.86,0.74,10,Mostly Cloudy,1001.55,12.32,45.9,1458090000,269,0.0017,38.24,0.04,NA,NA
forecast.io,hourly,2016-03-15 08:00,NA,rain,1,0.96,3.13,Light Rain,999.68,12.39,51.42,1458046800,121,0.0284,50.37,0.65,NA,NA
forecast.io,hourly,2016-03-13 23:00,NA,rain,1,0.81,9.72,Overcast,1005.92,4.08,51.35,1457928000,152,0.0018,45.69,0.04,NA,NA
forecast.io,hourly,2016-03-14 17:00,NA,NA,0.97,0.8,9.37,Overcast,1002.92,7.34,60.76,1457992800,133,0,54.51,0,NA,NA
forecast.io,hourly,2016-03-15 04:00,NA,rain,0.82,0.97,10,Light Rain,1000.8,10.62,48.77,1458032400,123,0.0111,47.92,0.52,NA,NA
forecast.io,daily,2016-03-18 00:00,0.426,snow,0.57,0.65,NA,Light snow (under 1 in.) in the morning.,1021.36,4.47,NA,1458277200,21,0.002,23.74,0.17,28.18,42.88
forecast.io,hourly,2016-03-14 12:00,NA,rain,1,0.88,5.29,Overcast,1004.22,4.71,52.22,1457974800,157,0.0009,48.74,0.01,NA,NA
forecast.io,daily,2016-03-20 00:00,0.139,snow,0.1,0.65,NA,Clear throughout the day.,1015.41,8.76,NA,1458450000,292,0.0006,21.69,0.05,25.04,41.9
forecast.io,hourly,2016-03-15 07:00,NA,rain,0.99,0.97,4.59,Light Rain,999.91,12.71,50.26,1458043200,117,0.0136,49.38,0.55,NA,NA
forecast.io,hourly,2016-03-14 23:00,NA,rain,0.99,0.92,7.76,Light Rain,1003.32,9.87,53.61,1458014400,124,0.0174,51.46,0.59,NA,NA
forecast.io,hourly,2016-03-14 05:00,NA,rain,0.99,0.94,4.44,Drizzle,1004.48,4.69,47.15,1457949600,161,0.0088,45.51,0.47,NA,NA
forecast.io,hourly,2016-03-14 08:00,NA,rain,0.99,0.94,2.37,Drizzle,1004.3,3.42,47.6,1457960400,154,0.0086,46.1,0.45,NA,NA
forecast.io,hourly,2016-03-15 19:00,NA,rain,0.99,0.75,10,Overcast,1000.77,13.3,46.35,1458086400,270,0.0021,38.95,0.05,NA,NA
forecast.io,hourly,2016-03-14 02:00,NA,rain,1,0.91,6.08,Drizzle,1004.88,4.4,49.65,1457938800,158,0.0074,46.99,0.37,NA,NA
forecast.io,hourly,2016-03-15 09:00,NA,rain,1,0.95,1.98,Light Rain,999.44,12.37,52.8,1458050400,126,0.0484,51.48,0.72,NA,NA
