src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-17 17:00,-2,314,1,44,Chance of Rain,1012,40,94,0,61,24
wunder,hourly,2016-03-17 07:00,-1,281,0,3,Overcast,1007,36,96,0,80,23
wunder,hourly,2016-03-17 10:00,-1,294,0,2,Overcast,1009,38,85,0,70,27
wunder,hourly,2016-03-17 08:00,-1,284,0,5,Mostly Cloudy,1008,36,77,0,80,23
wunder,hourly,2016-03-18 01:00,-3,31,0,22,Overcast,1018,33,94,0,78,13
wunder,hourly,2016-03-18 06:00,-5,7,0,4,Partly Cloudy,1021,29,46,0,77,10
wunder,hourly,2016-03-17 02:00,-1,280,0,0,Overcast,1006,39,96,0,73,21
wunder,hourly,2016-03-17 16:00,-3,310,0,49,Chance of Rain,1011,41,92,0,58,26
wunder,hourly,2016-03-18 09:00,-5,26,0,3,Mostly Cloudy,1023,29,70,0,75,11
wunder,hourly,2016-03-17 12:00,-2,297,0,13,Overcast,1009,40,90,0,63,27
wunder,hourly,2016-03-17 19:00,-2,342,0,38,Chance of Rain,1013,39,94,0,63,13
wunder,hourly,2016-03-17 22:00,-2,353,0,40,Snow,1016,36,89,0,74,10
wunder,hourly,2016-03-17 06:00,-1,281,0,2,Overcast,1007,36,95,0,78,21
wunder,hourly,2016-03-17 00:00,-1,280,0,24,Overcast,1005,41,80,0,66,19
wunder,hourly,2016-03-17 21:00,-2,351,0,45,Snow,1015,37,94,0,70,11
wunder,hourly,2016-03-18 07:00,-5,12,0,6,Partly Cloudy,1021,29,46,0,77,10
wunder,hourly,2016-03-17 23:00,-2,10,0,37,Snow Showers,1017,35,98,0,75,11
wunder,hourly,2016-03-18 04:00,-5,13,0,3,Partly Cloudy,1020,30,50,0,75,10
wunder,hourly,2016-03-16 23:00,-2,281,0,24,Mostly Cloudy,1005,41,61,0,63,19
wunder,hourly,2016-03-17 04:00,-1,283,0,1,Overcast,1006,38,97,0,77,23
wunder,hourly,2016-03-17 14:00,-3,304,0,38,Chance of Rain,1010,41,91,0,57,26
wunder,hourly,2016-03-17 09:00,-1,290,0,3,Mostly Cloudy,1008,37,64,0,77,26
wunder,hourly,2016-03-17 03:00,0,282,0,0,Overcast,1006,39,92,0,76,23
wunder,hourly,2016-03-18 08:00,-5,18,0,4,Partly Cloudy,1022,29,54,0,78,10
wunder,hourly,2016-03-18 02:00,-4,29,0,15,Overcast,1019,32,85,0,76,11
wunder,hourly,2016-03-17 11:00,-2,294,0,14,Overcast,1009,39,90,0,66,29
wunder,hourly,2016-03-17 05:00,-1,281,0,2,Overcast,1006,37,87,0,77,21
wunder,hourly,2016-03-17 01:00,-1,279,0,11,Overcast,1005,40,96,0,69,23
wunder,hourly,2016-03-17 15:00,-3,307,0,44,Chance of Rain,1011,41,94,0,57,26
wunder,hourly,2016-03-17 13:00,-2,299,0,14,Overcast,1010,41,91,0,59,27
wunder,hourly,2016-03-16 22:00,-1,283,0,6,Partly Cloudy,1005,42,46,0,62,21
wunder,hourly,2016-03-18 00:00,-2,24,0,41,Snow Showers,1018,34,95,0,78,11
wunder,hourly,2016-03-17 20:00,-2,346,0,39,Chance of Rain,1015,38,99,0,66,11
wunder,hourly,2016-03-17 18:00,-2,331,0,43,Chance of Rain,1013,40,96,0,63,16
wunder,hourly,2016-03-18 03:00,-4,22,0,4,Mostly Cloudy,1019,31,62,0,75,11
wunder,hourly,2016-03-18 05:00,-5,10,0,4,Partly Cloudy,1020,30,47,0,75,10
