src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-14 09:00,7,155,1,50,Chance of Rain,1004,47,99,0,91,8
wunder,hourly,2016-03-13 15:00,6,151,0,24,Overcast,1008,54,97,0,67,18
wunder,hourly,2016-03-13 20:00,7,135,0,15,Overcast,1006,52,94,0,74,10
wunder,hourly,2016-03-13 10:00,6,130,0,45,Chance of Rain,1011,50,99,0,77,16
wunder,hourly,2016-03-12 23:00,4,154,0,0,Mostly Cloudy,1013,50,73,0,65,5
wunder,hourly,2016-03-13 23:00,7,147,0,15,Overcast,1006,50,83,0,81,10
wunder,hourly,2016-03-13 07:00,6,122,0,49,Chance of Rain,1012,47,100,0,86,8
wunder,hourly,2016-03-14 01:00,7,156,0,15,Overcast,1006,49,88,0,84,10
wunder,hourly,2016-03-14 10:00,7,159,0,52,Chance of Rain,1004,49,100,0,87,10
wunder,hourly,2016-03-13 12:00,6,138,0,15,Overcast,1010,52,99,0,69,21
wunder,hourly,2016-03-13 08:00,6,120,0,36,Chance of Rain,1011,47,100,0,85,11
wunder,hourly,2016-03-13 18:00,6,150,0,21,Overcast,1007,54,81,0,67,13
wunder,hourly,2016-03-13 05:00,6,120,0,40,Chance of Rain,1012,48,100,0,81,6
wunder,hourly,2016-03-13 00:00,4,144,0,0,Overcast,1013,49,80,0,68,5
wunder,hourly,2016-03-13 11:00,6,135,0,31,Chance of Rain,1010,51,86,0,72,19
wunder,hourly,2016-03-13 17:00,6,156,0,15,Overcast,1007,54,88,0,66,13
wunder,hourly,2016-03-14 06:00,7,152,1,61,Rain,1004,47,100,0,89,10
wunder,hourly,2016-03-13 09:00,6,127,0,47,Chance of Rain,1011,48,100,0,82,13
wunder,hourly,2016-03-13 06:00,6,121,0,42,Chance of Rain,1012,47,100,0,84,8
wunder,hourly,2016-03-13 19:00,7,140,0,24,Overcast,1006,53,99,0,70,11
wunder,hourly,2016-03-14 03:00,7,159,0,43,Chance of Rain,1005,48,94,0,88,10
wunder,hourly,2016-03-14 04:00,7,160,1,40,Chance of Rain,1004,48,97,0,88,10
wunder,hourly,2016-03-13 03:00,6,126,0,1,Overcast,1013,48,97,0,79,6
wunder,hourly,2016-03-13 14:00,6,149,0,15,Overcast,1009,53,100,0,67,19
wunder,hourly,2016-03-14 07:00,7,150,0,56,Chance of Rain,1004,47,99,0,91,10
wunder,hourly,2016-03-13 22:00,7,145,0,15,Overcast,1006,50,82,0,78,8
wunder,hourly,2016-03-14 02:00,7,158,0,33,Chance of Rain,1005,49,88,0,86,10
wunder,hourly,2016-03-13 01:00,4,137,0,0,Overcast,1013,48,86,0,72,5
wunder,hourly,2016-03-14 00:00,7,154,0,15,Overcast,1006,49,85,0,82,10
wunder,hourly,2016-03-13 16:00,6,152,0,21,Overcast,1007,54,100,0,66,14
wunder,hourly,2016-03-13 13:00,6,146,0,22,Overcast,1009,53,97,0,67,19
wunder,hourly,2016-03-12 22:00,3,156,0,0,Mostly Cloudy,1013,52,64,0,58,6
wunder,hourly,2016-03-13 04:00,5,119,0,17,Overcast,1013,48,100,0,79,6
wunder,hourly,2016-03-14 05:00,7,154,1,59,Chance of Rain,1004,48,98,0,86,10
wunder,hourly,2016-03-14 08:00,7,147,1,48,Chance of Rain,1004,47,99,0,92,10
wunder,hourly,2016-03-13 21:00,7,138,0,15,Overcast,1006,51,85,0,77,8
