src,type,key,dewpointC,pop,tempC,tempF,maxTempC,minTempC,humidity,weather,weatherPrimary,snowCM,windSpeedKPH,precipMM,windDirDEG,sky,pressureMB,iceaccum,timestamp
aeris,hourly,2016-03-30 01:00,6,62,10,50,10,10,77,Cloudy with Light Showers Likely,Showers,0,19,0.38,150,96,1009,0,1459317600
aeris,hourly,2016-03-30 07:00,6,62,9,48,9,9,79,Cloudy with Light Showers Likely,Showers,0,20,0.68,160,99,1003,0,1459339200
aeris,hourly,2016-03-28 12:00,-2,0,10,50,10,10,45,Mostly Sunny,Mostly Sunny,0,12,0,190,21,1020,0,1459184400
aeris,hourly,2016-03-29 21:00,4,62,12,54,12,12,56,Mostly Cloudy with Light Showers Likely,Showers,0,19,0.38,150,87,1013,0,1459303200
aeris,hourly,2016-03-29 18:00,3,14,15,59,15,15,43,Mostly Cloudy,Mostly Cloudy,0,20,0,160,79,1013,0,1459292400
aeris,hourly,2016-03-29 04:00,1,0,4,39,4,4,79,Partly Cloudy,Partly Cloudy,0,10,0,120,33,1021,0,1459242000
aeris,hourly,2016-03-29 15:00,3,14,17,63,17,17,39,Partly Cloudy,Partly Cloudy,0,23,0,160,63,1015,0,1459281600
aeris,hourly,2016-03-30 05:00,6,62,9,48,9,9,79,Cloudy with Light Showers Likely,Showers,0,20,0.68,160,98,1005,0,1459332000
aeris,hourly,2016-03-28 14:00,-1,0,12,54,12,12,40,Mostly Sunny,Mostly Sunny,0,12,0,190,15,1019,0,1459191600
aeris,hourly,2016-03-29 07:00,1,0,4,39,4,4,82,Partly Cloudy,Partly Cloudy,0,10,0,130,34,1021,0,1459252800
aeris,hourly,2016-03-29 01:00,2,0,5,41,5,5,76,Mostly Clear,Mostly Clear,0,10,0,120,9,1021,0,1459231200
aeris,hourly,2016-03-28 23:00,1,0,7,45,7,7,65,Clear,Clear,0,10,0,130,6,1021,0,1459224000
aeris,hourly,2016-03-30 00:00,5,62,10,50,10,10,71,Mostly Cloudy with Light Showers Likely,Showers,0,19,0.38,150,94,1010,0,1459314000
aeris,hourly,2016-03-28 08:00,-3,0,2,36,2,2,72,Partly Cloudy,Partly Cloudy,0,4,0,170,50,1019,0,1459170000
aeris,hourly,2016-03-30 04:00,6,62,9,48,9,9,79,Cloudy with Light Showers Likely,Showers,0,20,0.68,150,98,1006,0,1459328400
aeris,hourly,2016-03-28 21:00,1,0,9,48,9,9,58,Clear,Clear,0,7,0,130,5,1020,0,1459216800
aeris,hourly,2016-03-29 17:00,3,14,16,61,16,16,41,Mostly Cloudy,Mostly Cloudy,0,20,0,160,74,1014,0,1459288800
aeris,hourly,2016-03-28 22:00,2,0,8,46,8,8,65,Clear,Clear,0,10,0,130,5,1021,0,1459220400
aeris,hourly,2016-03-29 12:00,2,14,14,57,14,14,47,Partly Cloudy,Partly Cloudy,0,20,0,160,54,1019,0,1459270800
aeris,hourly,2016-03-28 07:00,-3,0,0,32,0,0,82,Partly Cloudy,Partly Cloudy,0,4,0,170,55,1019,0,1459166400
aeris,hourly,2016-03-29 23:00,5,62,11,52,11,11,66,Mostly Cloudy with Light Showers Likely,Showers,0,19,0.38,150,91,1011,0,1459310400
aeris,hourly,2016-03-30 02:00,6,62,9,48,9,9,78,Cloudy with Light Showers Likely,Showers,0,19,0.68,150,97,1008,0,1459321200
aeris,hourly,2016-03-29 05:00,1,0,4,39,4,4,82,Partly Cloudy,Partly Cloudy,0,10,0,120,33,1021,0,1459245600
aeris,hourly,2016-03-29 08:00,1,14,5,41,5,5,76,Partly Cloudy,Partly Cloudy,0,12,0,140,36,1021,0,1459256400
aeris,hourly,2016-03-28 19:00,1,0,11,52,11,11,49,Sunny,Sunny,0,10,0,150,5,1019,0,1459209600
aeris,hourly,2016-03-29 02:00,2,0,5,41,5,5,79,Mostly Clear,Mostly Clear,0,10,0,120,15,1021,0,1459234800
aeris,hourly,2016-03-28 09:00,-2,0,4,39,4,4,67,Partly Cloudy,Partly Cloudy,0,6,0,180,39,1020,0,1459173600
aeris,hourly,2016-03-29 09:00,2,14,7,45,7,7,70,Partly Cloudy,Partly Cloudy,0,14,0,140,41,1021,0,1459260000
aeris,hourly,2016-03-29 14:00,3,14,16,61,16,16,40,Partly Cloudy,Partly Cloudy,0,23,0,160,58,1017,0,1459278000
aeris,hourly,2016-03-29 03:00,1,0,5,41,5,5,79,Mostly Clear,Mostly Clear,0,10,0,120,27,1021,0,1459238400
aeris,hourly,2016-03-29 11:00,2,14,11,52,11,11,54,Partly Cloudy,Partly Cloudy,0,19,0,150,49,1020,0,1459267200
aeris,hourly,2016-03-29 00:00,1,0,6,43,6,6,71,Mostly Clear,Mostly Clear,0,10,0,130,8,1021,0,1459227600
aeris,hourly,2016-03-29 20:00,3,62,13,55,13,13,52,Mostly Cloudy with Light Showers Likely,Showers,0,20,0.38,150,84,1013,0,1459299600
aeris,hourly,2016-03-28 10:00,-2,0,6,43,6,6,58,Partly Cloudy,Partly Cloudy,0,7,0,180,34,1020,0,1459177200
aeris,hourly,2016-03-28 15:00,-1,0,14,57,14,14,39,Mostly Sunny,Mostly Sunny,0,12,0,180,12,1019,0,1459195200
aeris,hourly,2016-03-28 17:00,-1,0,13,55,13,13,39,Mostly Sunny,Mostly Sunny,0,12,0,170,9,1019,0,1459202400
aeris,hourly,2016-03-28 11:00,-2,0,7,45,7,7,51,Mostly Sunny,Mostly Sunny,0,7,0,180,29,1020,0,1459180800
aeris,hourly,2016-03-29 13:00,3,14,15,59,15,15,44,Partly Cloudy,Partly Cloudy,0,23,0,160,56,1018,0,1459274400
aeris,hourly,2016-03-29 19:00,3,14,14,57,14,14,47,Mostly Cloudy with Light Showers Likely,Showers,0,20,0,160,82,1013,0,1459296000
aeris,hourly,2016-03-29 22:00,5,62,12,54,12,12,61,Mostly Cloudy with Light Showers Likely,Showers,0,19,0.38,150,89,1013,0,1459306800
aeris,hourly,2016-03-29 10:00,2,14,9,48,9,9,61,Partly Cloudy,Partly Cloudy,0,17,0,150,45,1020,0,1459263600
aeris,hourly,2016-03-28 18:00,0,0,12,54,12,12,43,Sunny,Sunny,0,10,0,160,6,1019,0,1459206000
aeris,hourly,2016-03-29 16:00,3,14,17,63,17,17,39,Partly Cloudy,Partly Cloudy,0,23,0,160,69,1014,0,1459285200
aeris,hourly,2016-03-28 13:00,-1,0,11,52,11,11,41,Mostly Sunny,Mostly Sunny,0,12,0,190,17,1020,0,1459188000
aeris,hourly,2016-03-29 06:00,1,0,3,37,3,3,85,Partly Cloudy,Partly Cloudy,0,10,0,130,34,1021,0,1459249200
aeris,hourly,2016-03-30 06:00,6,62,9,48,9,9,79,Cloudy with Light Showers Likely,Showers,0,20,0.68,160,99,1004,0,1459335600
aeris,hourly,2016-03-28 20:00,0,0,10,50,10,10,51,Clear,Clear,0,7,0,140,5,1020,0,1459213200
aeris,hourly,2016-03-30 03:00,6,62,9,48,9,9,78,Cloudy with Light Showers Likely,Showers,0,20,0.68,150,97,1007,0,1459324800
aeris,hourly,2016-03-28 16:00,0,0,14,57,14,14,38,Mostly Sunny,Mostly Sunny,0,12,0,180,10,1019,0,1459198800
aeris,daily,2016-03-30 07:00,6,73,None,None,12,3,75,Cloudy with Light Showers Likely,Showers,0,17,22.84,160,99,1000,0,1459339200
aeris,daily,2016-04-05 07:00,-2,None,None,None,5,-1,79,Mostly Cloudy with Isolated Showers,Isolated Showers,0,16,7.18,60,89,1021,None,1459857600
aeris,daily,2016-04-03 07:00,-12,11,None,None,2,-6,50,Mostly Sunny,Mostly Sunny,0,14,1.87,310,26,1022,None,1459684800
aeris,daily,2016-03-31 07:00,2,73,None,None,7,0,75,Mostly Cloudy with Scattered Showers,Scattered Showers,0,19,4.43,350,83,997,None,1459425600
aeris,daily,2016-04-06 07:00,0,None,None,None,4,2,81,Cloudy with Isolated Very Light Wintry Mix,Isolated Wintry Mix,0,31,0.82,18,100,1020,None,1459944000
aeris,daily,2016-04-04 07:00,-7,26,None,None,5,-3,62,Partly Cloudy with Slight Chance of Light Wintry Mix,Isolated Wintry Mix,0,16,0.8,100,68,1015,None,1459771200
aeris,daily,2016-04-02 07:00,-4,11,None,None,6,-6,53,Partly Cloudy,Partly Cloudy,0,30,0,290,39,1012,None,1459598400
aeris,daily,2016-03-28 07:00,-3,0,None,None,14,3,51,Mostly Sunny,Mostly Sunny,0,9,0,170,25,1019,0,1459166400
aeris,daily,2016-03-29 07:00,1,14,None,None,17,9,53,Partly Cloudy,Partly Cloudy,0,19,5.67,130,55,1018,0,1459252800
aeris,daily,2016-04-01 07:00,-3,27,None,None,7,-1,60,Partly Cloudy,Partly Cloudy,0,21,0.5,320,56,1014,None,1459512000
