src,type,key,precipAccumulation,precipType,cloudCover,humidity,visibility,summary,pressure,windSpeed,temperature,time,windBearing,precipIntensity,dewPoint,precipProbability,temperatureMin,temperatureMax
forecast.io,hourly,2016-03-27 12:00,NA,NA,0.92,0.8,8.9,Mostly Cloudy,1017.44,11.46,40.26,1459098000,326,0,34.53,0,NA,NA
forecast.io,hourly,2016-03-27 14:00,NA,NA,0.61,0.72,9.11,Mostly Cloudy,1016.98,11.4,43.65,1459105200,326,0,35.28,0,NA,NA
forecast.io,hourly,2016-03-28 12:00,NA,NA,0.11,0.54,10,Clear,1019.22,4.04,48.41,1459184400,207,0,32.55,0,NA,NA
forecast.io,daily,2016-03-31 00:00,NA,rain,0.95,0.79,NA,Light rain until afternoon.,1000.56,13.62,NA,1459400400,336,0.01,34.99,0.64,35.59,48.93
forecast.io,hourly,2016-03-27 22:00,NA,NA,0,0.72,10,Clear,1017.75,2.4,40.19,1459134000,302,0,31.95,0,NA,NA
forecast.io,hourly,2016-03-28 22:00,NA,NA,0.16,0.61,10,Clear,1019.8,6.9,47.25,1459220400,88,0,34.58,0,NA,NA
forecast.io,daily,2016-04-01 00:00,NA,rain,0.61,0.72,NA,Mostly cloudy throughout the day and breezy overnight.,1009.85,13.76,NA,1459486800,302,0.0016,27.92,0.16,29.6,43.63
forecast.io,hourly,2016-03-26 22:00,NA,rain,0.83,0.92,7.09,Light Rain,1017.13,2.86,42.54,1459047600,71,0.0422,40.42,0.7,NA,NA
forecast.io,hourly,2016-03-27 16:00,NA,NA,0.36,0.65,9.55,Partly Cloudy,1016.16,10.53,48.34,1459112400,322,0,36.93,0,NA,NA
forecast.io,hourly,2016-03-28 14:00,NA,NA,0.03,0.43,10,Clear,1018.74,3.79,55.72,1459191600,222,0,33.84,0,NA,NA
forecast.io,hourly,2016-03-28 02:00,NA,NA,0.05,0.8,10,Clear,1018.13,2.12,36.9,1459148400,227,0,31.25,0,NA,NA
forecast.io,hourly,2016-03-27 09:00,NA,rain,1,0.9,5.48,Overcast,1016.99,10.66,37.83,1459087200,325,0.0034,35.16,0.12,NA,NA
forecast.io,hourly,2016-03-28 05:00,NA,NA,0.26,0.85,10,Partly Cloudy,1018.48,3.48,34,1459159200,188,0,29.96,0,NA,NA
