src,type,key,precipAccumulation,precipType,cloudCover,humidity,visibility,summary,pressure,windSpeed,temperature,time,windBearing,precipIntensity,dewPoint,precipProbability,temperatureMin,temperatureMax
forecast.io,hourly,2016-03-18 19:00,NA,rain,1,0.78,6.16,Overcast,1021.73,8.58,39.63,1458345600,33,0.0043,33.4,0.17,NA,NA
forecast.io,hourly,2016-03-18 22:00,0.039,snow,1,0.89,5.48,Light Snow,1023.33,9.41,34.04,1458356400,29,0.0052,31.03,0.22,NA,NA
forecast.io,hourly,2016-03-19 08:00,0.014,snow,0.98,0.87,5.64,Flurries,1025.19,8.54,31.68,1458392400,58,0.0018,28.32,0.04,NA,NA
forecast.io,daily,2016-03-24 00:00,NA,rain,0.55,0.62,NA,Mostly cloudy throughout the day.,1017.47,5.28,NA,1458795600,16,0.0006,22.26,0.01,27.33,42.11
forecast.io,hourly,2016-03-19 18:00,NA,NA,0.59,0.59,9.9,Partly Cloudy,1025.67,8.68,40.35,1458428400,7,0,27.36,0,NA,NA
forecast.io,hourly,2016-03-18 21:00,NA,rain,1,0.86,5.54,Drizzle,1022.83,9.06,35.37,1458352800,28,0.0053,31.51,0.23,NA,NA
forecast.io,hourly,2016-03-19 16:00,NA,NA,0.71,0.6,9.7,Mostly Cloudy,1025.58,7.78,41.14,1458421200,18,0,28.35,0,NA,NA
forecast.io,hourly,2016-03-19 10:00,0.016,snow,0.98,0.81,9.56,Flurries,1026.25,8.79,31.48,1458399600,57,0.002,26.19,0.05,NA,NA
forecast.io,hourly,2016-03-19 20:00,NA,NA,0.45,0.63,10,Partly Cloudy,1026.41,8.27,36.6,1458435600,4,0,25.36,0,NA,NA
forecast.io,hourly,2016-03-18 15:00,NA,rain,0.98,0.68,8.63,Overcast,1021.12,6.06,41.57,1458331200,42,0.0028,31.98,0.09,NA,NA
forecast.io,hourly,2016-03-19 03:00,0.014,snow,0.98,0.9,6.3,Overcast,1023.99,8.46,32.33,1458374400,39,0.0018,29.82,0.04,NA,NA
forecast.io,hourly,2016-03-19 09:00,0.016,snow,0.98,0.84,7.36,Flurries,1025.78,8.82,31.53,1458396000,58,0.002,27.21,0.05,NA,NA
forecast.io,hourly,2016-03-18 09:00,0.016,snow,0.99,0.84,9.37,Flurries,1020.62,5.02,32.36,1458309600,36,0.0022,28.09,0.06,NA,NA
forecast.io,hourly,2016-03-19 04:00,NA,NA,0.98,0.9,5.93,Overcast,1024.06,8.42,32.1,1458378000,45,0,29.6,0,NA,NA
forecast.io,hourly,2016-03-19 02:00,0.024,snow,0.99,0.9,6.74,Flurries,1024,8.72,32.12,1458370800,39,0.0032,29.59,0.11,NA,NA
forecast.io,daily,2016-03-23 00:00,NA,rain,0.93,0.76,NA,Overcast throughout the day.,1011.87,12.9,NA,1458709200,33,0.0008,30.45,0.02,30.07,45.47
forecast.io,hourly,2016-03-19 19:00,NA,NA,0.52,0.61,10,Partly Cloudy,1025.94,8.58,38.52,1458432000,4,0,26.19,0,NA,NA
forecast.io,hourly,2016-03-20 07:00,NA,NA,0.36,0.81,10,Partly Cloudy,1027.63,7.35,27.55,1458475200,315,0,22.41,0,NA,NA
forecast.io,hourly,2016-03-18 07:00,0.022,snow,0.99,0.85,9.67,Flurries,1019.7,4.42,32.06,1458302400,37,0.0029,28.06,0.09,NA,NA
forecast.io,hourly,2016-03-18 17:00,NA,rain,1,0.71,7.33,Overcast,1021.27,7.19,42.49,1458338400,43,0.0039,33.85,0.15,NA,NA
forecast.io,hourly,2016-03-20 02:00,NA,NA,0.29,0.81,10,Partly Cloudy,1027.78,5.49,29.26,1458457200,340,0,24.16,0,NA,NA
forecast.io,daily,2016-03-19 00:00,0.202,snow,0.8,0.77,8.34,Flurries in the morning.,1025.56,7.65,NA,1458363600,34,0.0011,27.65,0.17,31.48,41.5
forecast.io,hourly,2016-03-19 06:00,0.008,snow,0.98,0.91,5.5,Overcast,1024.43,8.26,31.78,1458385200,54,0.001,29.34,0.01,NA,NA
forecast.io,daily,2016-03-18 00:00,0.447,snow,0.95,0.79,8.33,Light snow starting in the evening.,1020.38,5.28,NA,1458277200,29,0.0024,29.68,0.23,31.73,42.81
forecast.io,hourly,2016-03-18 14:00,NA,rain,0.96,0.67,9,Overcast,1021.13,6.03,39.21,1458327600,44,0.0017,29.25,0.04,NA,NA
forecast.io,hourly,2016-03-19 17:00,NA,NA,0.65,0.59,9.77,Mostly Cloudy,1025.54,8.55,41.5,1458424800,11,0,28.26,0,NA,NA
forecast.io,hourly,2016-03-18 12:00,NA,NA,0.97,0.73,8.97,Overcast,1021.12,6.17,35.16,1458320400,42,0,27.35,0,NA,NA
forecast.io,hourly,2016-03-19 05:00,NA,NA,0.98,0.91,5.8,Overcast,1024.21,8.06,31.79,1458381600,51,0,29.33,0,NA,NA
forecast.io,hourly,2016-03-19 01:00,0.03,snow,1,0.9,6.29,Light Snow,1023.94,8.48,32.33,1458367200,43,0.004,29.75,0.15,NA,NA
forecast.io,hourly,2016-03-20 04:00,NA,NA,0.27,0.82,10,Partly Cloudy,1027.63,5.49,27.89,1458464400,320,0,23.01,0,NA,NA
forecast.io,daily,2016-03-22 00:00,NA,rain,0.91,0.78,NA,Drizzle in the morning.,1003.77,6.58,NA,1458622800,107,0.002,38.43,0.24,38.12,53.68
forecast.io,hourly,2016-03-18 23:00,0.038,snow,1,0.9,5.35,Light Snow,1023.62,9.23,32.94,1458360000,35,0.005,30.29,0.21,NA,NA
forecast.io,hourly,2016-03-20 01:00,NA,NA,0.29,0.8,10,Partly Cloudy,1027.82,5.9,29.89,1458453600,349,0,24.41,0,NA,NA
forecast.io,hourly,2016-03-18 08:00,0.013,snow,1,0.85,9.59,Overcast,1020.18,4.72,31.73,1458306000,31,0.0017,27.84,0.05,NA,NA
forecast.io,hourly,2016-03-18 16:00,NA,rain,1,0.69,8.61,Overcast,1021.16,6.66,42.81,1458334800,43,0.0037,33.45,0.14,NA,NA
forecast.io,hourly,2016-03-19 23:00,NA,NA,0.22,0.74,10,Clear,1027.77,6.88,31.84,1458446400,358,0,24.47,0,NA,NA
forecast.io,hourly,2016-03-19 14:00,NA,NA,0.88,0.68,9.9,Mostly Cloudy,1026.21,7.33,37.35,1458414000,34,0,27.94,0,NA,NA
forecast.io,hourly,2016-03-18 11:00,NA,NA,0.98,0.77,8.94,Overcast,1021.1,5.98,34.37,1458316800,43,0,28.06,0,NA,NA
forecast.io,hourly,2016-03-19 11:00,0.012,snow,0.98,0.78,10,Overcast,1026.48,8.42,31.99,1458403200,53,0.0016,25.93,0.03,NA,NA
forecast.io,hourly,2016-03-19 13:00,NA,NA,0.95,0.73,10,Overcast,1026.47,7.41,35.22,1458410400,43,0,27.4,0,NA,NA
forecast.io,hourly,2016-03-19 15:00,NA,NA,0.8,0.64,9.77,Mostly Cloudy,1025.84,7.5,39.58,1458417600,25,0,28.23,0,NA,NA
forecast.io,hourly,2016-03-20 03:00,NA,NA,0.27,0.81,10,Partly Cloudy,1027.7,5.32,28.61,1458460800,329,0,23.66,0,NA,NA
forecast.io,current,2016-03-18 07:58,NA,NA,1,0.85,9.6,Overcast,1020.17,4.71,31.73,1458305938,31,0,27.84,0,NA,NA
forecast.io,hourly,2016-03-18 10:00,0.006,snow,0.99,0.81,9.03,Overcast,1020.95,5.62,33.37,1458313200,38,0.0008,28.24,0.01,NA,NA
forecast.io,hourly,2016-03-19 21:00,NA,NA,0.32,0.67,10,Partly Cloudy,1027.04,7.88,34.69,1458439200,4,0,24.84,0,NA,NA
forecast.io,hourly,2016-03-18 20:00,NA,rain,1,0.82,5.73,Drizzle,1022.21,8.87,37.55,1458349200,30,0.0052,32.57,0.22,NA,NA
forecast.io,daily,2016-03-20 00:00,NA,NA,0.39,0.66,10,Partly cloudy until evening.,1025.97,9.01,NA,1458450000,319,0,23.51,0,26.45,43.7
forecast.io,hourly,2016-03-18 13:00,NA,NA,0.95,0.68,9.15,Overcast,1021.13,5.99,37.16,1458324000,44,0,27.48,0,NA,NA
