src,type,key,dewpointC,pop,tempC,tempF,maxTempC,minTempC,humidity,weather,weatherPrimary,snowCM,windSpeedKPH,precipMM,windDirDEG,sky,pressureMB,iceaccum,timestamp
aeris,hourly,2016-03-24 01:00,-4,68,0,32,0,0,78,Cloudy with Chance of Light Snow,Isolated Snow Showers,0.22,20,0.21,30,100,1017,0,1458799200
aeris,hourly,2016-03-25 01:00,-6,0,-3,27,-3,-3,74,Clear,Clear,0,4,0,110,3,1015,0,1458885600
aeris,hourly,2016-03-25 07:00,-7,0,-5,23,-5,-5,80,Mostly Clear,Mostly Clear,0,10,0,160,8,1014,0,1458907200
aeris,hourly,2016-03-25 02:00,-7,0,-3,27,-3,-3,77,Clear,Clear,0,4,0,120,4,1015,0,1458889200
aeris,hourly,2016-03-25 23:00,1,35,5,41,5,5,80,Mostly Cloudy with Scattered Showers,Scattered Showers,0,16,0.09,170,91,1012,None,1458964800
aeris,hourly,2016-03-25 00:00,-6,0,-2,28,-2,-2,71,Clear,Clear,0,4,0,80,3,1014,0,1458882000
aeris,hourly,2016-03-25 08:00,-6,17,-3,27,-3,-3,81,Mostly Sunny,Mostly Sunny,0,12,0,160,13,1014,0,1458910800
aeris,hourly,2016-03-25 17:00,0,17,6,43,6,6,63,Mostly Cloudy with Isolated Showers,Isolated Showers,0,19,0.04,150,82,1012,0,1458943200
aeris,hourly,2016-03-24 07:00,-6,68,-2,28,-2,-2,75,Mostly Cloudy,Mostly Cloudy,0,19,0,10,75,1016,0,1458820800
aeris,hourly,2016-03-24 19:00,-5,1,2,36,2,2,59,Sunny,Sunny,0,13,0,350,1,1013,0,1458864000
aeris,hourly,2016-03-24 23:00,-6,0,-2,28,-2,-2,69,Clear,Clear,0,4,0,30,3,1014,0,1458878400
aeris,hourly,2016-03-24 14:00,-5,1,5,41,5,5,47,Mostly Sunny,Mostly Sunny,0,17,0,10,19,1013,0,1458846000
aeris,hourly,2016-03-25 11:00,-3,17,2,36,2,2,66,Partly Cloudy,Partly Cloudy,0,14,0,160,40,1014,0,1458921600
aeris,hourly,2016-03-24 11:00,-7,1,1,34,1,1,56,Partly Cloudy,Partly Cloudy,0,20,0,10,50,1014,0,1458835200
aeris,hourly,2016-03-24 13:00,-6,1,4,39,4,4,51,Mostly Sunny,Mostly Sunny,0,17,0,10,26,1013,0,1458842400
aeris,hourly,2016-03-24 15:00,-5,1,6,43,6,6,45,Mostly Sunny,Mostly Sunny,0,14,0,360,11,1013,0,1458849600
aeris,hourly,2016-03-25 06:00,-7,0,-5,23,-5,-5,84,Mostly Clear,Mostly Clear,0,7,0,160,8,1014,0,1458903600
aeris,hourly,2016-03-25 10:00,-4,17,0,32,0,0,75,Mostly Sunny,Mostly Sunny,0,13,0,160,31,1014,0,1458918000
aeris,hourly,2016-03-24 21:00,-6,0,0,32,0,0,61,Clear,Clear,0,7,0,10,2,1013,0,1458871200
