src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-16 20:00,-2,297,0,0,Overcast,1004,44,92,0,53,24
wunder,hourly,2016-03-17 17:00,-3,326,0,35,Chance of Rain,1013,38,98,0,61,19
wunder,hourly,2016-03-17 07:00,-1,298,0,34,Snow Showers,1007,36,100,0,79,26
wunder,hourly,2016-03-17 10:00,-2,313,0,33,Snow Showers,1009,37,96,0,72,21
wunder,hourly,2016-03-17 08:00,-1,305,0,36,Snow Showers,1007,35,99,0,80,26
wunder,hourly,2016-03-16 11:00,0,299,0,0,Partly Cloudy,1001,43,92,0,65,39
wunder,hourly,2016-03-17 02:00,-1,289,0,6,Overcast,1005,39,98,0,70,26
wunder,hourly,2016-03-17 16:00,-4,323,0,44,Chance of Rain,1012,39,96,0,59,21
wunder,hourly,2016-03-16 14:00,-2,297,0,1,Partly Cloudy,1002,46,94,0,52,40
wunder,hourly,2016-03-16 16:00,-3,296,0,2,Partly Cloudy,1002,47,93,0,45,39
wunder,hourly,2016-03-17 12:00,-3,314,0,12,Overcast,1010,39,97,0,63,23
wunder,hourly,2016-03-16 10:00,1,300,0,0,Partly Cloudy,1000,42,97,0,70,35
wunder,hourly,2016-03-17 19:00,-3,335,0,19,Overcast,1014,38,98,0,64,14
wunder,hourly,2016-03-17 06:00,-1,293,0,39,Snow Showers,1006,37,97,0,77,26
wunder,hourly,2016-03-17 00:00,-2,292,0,2,Overcast,1005,41,92,0,64,26
wunder,hourly,2016-03-16 19:00,-2,297,0,1,Overcast,1004,45,93,0,50,29
wunder,hourly,2016-03-16 12:00,-1,297,0,0,Partly Cloudy,1001,44,91,0,60,40
wunder,hourly,2016-03-16 23:00,-2,295,0,0,Overcast,1005,41,93,0,60,27
wunder,hourly,2016-03-16 17:00,-3,295,0,1,Partly Cloudy,1003,46,90,0,47,35
wunder,hourly,2016-03-16 13:00,-1,297,0,0,Partly Cloudy,1002,45,94,0,57,42
wunder,hourly,2016-03-17 04:00,-1,291,0,8,Overcast,1006,38,95,0,73,24
wunder,hourly,2016-03-17 14:00,-3,317,0,48,Chance of Rain,1011,39,98,0,60,21
wunder,hourly,2016-03-17 09:00,-2,310,0,36,Snow Showers,1008,36,97,0,76,26
wunder,hourly,2016-03-16 21:00,-2,295,0,0,Overcast,1004,43,90,0,57,24
wunder,hourly,2016-03-17 03:00,-1,289,0,7,Overcast,1006,38,96,0,72,26
wunder,hourly,2016-03-16 15:00,-3,297,0,1,Partly Cloudy,1002,46,90,0,47,40
wunder,hourly,2016-03-17 11:00,-2,316,0,13,Overcast,1009,38,96,0,70,21
wunder,hourly,2016-03-17 05:00,-1,291,0,40,Snow,1006,37,93,0,75,24
wunder,hourly,2016-03-17 01:00,-1,289,0,3,Overcast,1005,40,96,0,68,24
wunder,hourly,2016-03-17 15:00,-3,323,0,44,Chance of Rain,1011,39,98,0,59,21
wunder,hourly,2016-03-17 13:00,-3,315,0,13,Overcast,1011,39,97,0,59,21
wunder,hourly,2016-03-16 22:00,-2,295,0,0,Overcast,1005,42,89,0,59,27
wunder,hourly,2016-03-16 09:00,1,302,0,0,Partly Cloudy,1000,42,90,0,75,35
wunder,hourly,2016-03-17 20:00,-3,341,0,36,Snow,1016,37,97,0,67,13
wunder,hourly,2016-03-17 18:00,-3,332,0,21,Overcast,1014,39,96,0,62,18
wunder,hourly,2016-03-16 18:00,-3,296,0,1,Partly Cloudy,1003,46,89,0,48,32
