src,type,key,dewpointC,pop,tempC,tempF,maxTempC,minTempC,humidity,weather,weatherPrimary,snowCM,windSpeedKPH,precipMM,windDirDEG,sky,pressureMB,iceaccum,timestamp
aeris,hourly,2016-03-23 22:00,-3,46,0,32,0,0,78,Cloudy with Light Snow Likely,Snow,0.17,26,0.17,40,100,1016,0,1458788400
aeris,hourly,2016-03-25 01:00,-6,0,-3,27,-3,-3,74,Clear,Clear,0,4,0,110,3,1015,0,1458885600
aeris,hourly,2016-03-25 19:00,1,17,6,43,6,6,70,Cloudy with Chance of Light Rain,Scattered Showers,0,17,0.04,150,97,1009,0,1458950400
aeris,hourly,2016-03-25 07:00,-7,0,-5,23,-5,-5,80,Mostly Clear,Mostly Clear,0,10,0,160,8,1014,0,1458907200
aeris,hourly,2016-03-24 23:00,-6,0,-2,28,-2,-2,69,Clear,Clear,0,4,0,30,3,1014,0,1458878400
aeris,hourly,2016-03-25 00:00,-6,0,-2,28,-2,-2,71,Clear,Clear,0,4,0,80,3,1015,0,1458882000
aeris,hourly,2016-03-25 08:00,-6,17,-3,27,-3,-3,79,Mostly Sunny,Mostly Sunny,0,11,0,160,16,1014,0,1458910800
aeris,hourly,2016-03-24 01:00,-4,46,1,34,1,1,72,Cloudy with Light Snow Likely,Snow,0.17,26,0.17,30,100,1016,0,1458799200
aeris,hourly,2016-03-24 07:00,-6,46,-2,28,-2,-2,75,Mostly Cloudy,Mostly Cloudy,0,19,0,10,75,1014,0,1458820800
aeris,hourly,2016-03-24 19:00,-5,1,2,36,2,2,59,Sunny,Sunny,0,13,0,350,1,1012,0,1458864000
aeris,hourly,2016-03-23 20:00,-3,46,0,32,0,0,85,Cloudy with Light Snow Likely,Snow,0.17,23,0.17,50,100,1017,0,1458781200
aeris,hourly,2016-03-24 14:00,-6,1,5,41,5,5,47,Mostly Sunny,Mostly Sunny,0,17,0,10,19,1012,0,1458846000
aeris,hourly,2016-03-25 11:00,-3,17,2,36,2,2,69,Partly Cloudy,Partly Cloudy,0,15,0,170,38,1014,0,1458921600
aeris,hourly,2016-03-24 11:00,-7,1,1,34,1,1,56,Partly Cloudy,Partly Cloudy,0,20,0,10,50,1013,0,1458835200
aeris,hourly,2016-03-24 13:00,-5,1,4,39,4,4,51,Mostly Sunny,Mostly Sunny,0,17,0,10,26,1012,0,1458842400
aeris,hourly,2016-03-24 15:00,-5,1,6,43,6,6,45,Mostly Sunny,Mostly Sunny,0,14,0,360,11,1012,0,1458849600
aeris,hourly,2016-03-25 06:00,-7,0,-5,23,-5,-5,84,Mostly Clear,Mostly Clear,0,7,0,160,8,1014,0,1458903600
aeris,hourly,2016-03-25 17:00,0,17,6,43,6,6,63,Mostly Cloudy with Isolated Showers,Isolated Showers,0,19,0.04,150,82,1010,0,1458943200
aeris,hourly,2016-03-25 10:00,-4,17,0,32,0,0,75,Mostly Sunny,Mostly Sunny,0,13,0,160,31,1014,0,1458918000
aeris,hourly,2016-03-24 21:00,-6,0,0,32,0,0,61,Clear,Clear,0,7,0,10,2,1014,0,1458871200
aeris,hourly,2016-03-25 13:00,-2,17,6,43,6,6,58,Partly Cloudy with Isolated Showers,Isolated Showers,0,19,0,170,53,1012,0,1458928800
aeris,hourly,2016-03-24 17:00,-6,1,5,41,5,5,47,Sunny,Sunny,0,14,0,360,3,1012,0,1458856800
aeris,hourly,2016-03-25 09:00,-5,17,-2,28,-2,-2,77,Mostly Sunny,Mostly Sunny,0,12,0,160,23,1014,0,1458914400
aeris,hourly,2016-03-24 22:00,-6,0,-1,30,-1,-1,66,Clear,Clear,0,6,0,10,2,1014,0,1458874800
aeris,hourly,2016-03-24 00:00,-4,46,1,34,1,1,72,Cloudy with Light Snow Likely,Snow,0.17,26,0.17,30,100,1016,0,1458795600
aeris,hourly,2016-03-25 05:00,-7,0,-5,23,-5,-5,84,Mostly Clear,Mostly Clear,0,6,0,150,7,1014,0,1458900000
aeris,hourly,2016-03-24 12:00,-6,1,2,36,2,2,54,Partly Cloudy,Partly Cloudy,0,19,0,10,38,1013,0,1458838800
aeris,hourly,2016-03-24 16:00,-6,1,6,43,6,6,45,Sunny,Sunny,0,14,0,360,4,1011,0,1458853200
aeris,hourly,2016-03-24 02:00,-4,46,0,32,0,0,72,Cloudy with Light Snow Likely,Snow,0,24,0,20,97,1016,0,1458802800
aeris,hourly,2016-03-25 18:00,0,17,6,43,6,6,67,Mostly Cloudy with Isolated Showers,Isolated Showers,0,18,0.04,150,90,1009,0,1458946800
aeris,hourly,2016-03-25 03:00,-7,0,-3,27,-3,-3,78,Clear,Clear,0,4,0,140,5,1014,0,1458892800
aeris,hourly,2016-03-24 10:00,-6,1,0,32,0,0,63,Partly Cloudy,Partly Cloudy,0,20,0,10,62,1013,0,1458831600
aeris,hourly,2016-03-24 20:00,-6,0,1,34,1,1,61,Clear,Clear,0,10,0,360,1,1013,0,1458867600
aeris,hourly,2016-03-25 15:00,-1,17,6,43,6,6,59,Partly Cloudy with Isolated Showers,Isolated Showers,0,20,0.04,160,68,1011,0,1458936000
aeris,hourly,2016-03-24 03:00,-4,46,0,32,0,0,75,Mostly Cloudy with Scattered Snow Showers,Scattered Snow Showers,0,24,0,20,94,1015,0,1458806400
aeris,hourly,2016-03-24 09:00,-6,1,-1,30,-1,-1,69,Partly Cloudy,Partly Cloudy,0,20,0,10,66,1014,0,1458828000
aeris,hourly,2016-03-24 06:00,-6,46,-1,30,-1,-1,72,Mostly Cloudy,Mostly Cloudy,0,20,0,10,80,1014,0,1458817200
aeris,hourly,2016-03-24 04:00,-5,46,0,32,0,0,72,Mostly Cloudy with Scattered Snow Showers,Scattered Snow Showers,0,24,0,10,91,1015,0,1458810000
aeris,hourly,2016-03-23 21:00,-3,46,0,32,0,0,78,Cloudy with Light Snow Likely,Snow,0.17,23,0.17,40,100,1016,0,1458784800
aeris,hourly,2016-03-23 19:00,-3,98,0,32,0,0,84,Cloudy with Light Snow Likely,Snow,1.43,20,0.47,50,100,1017,0,1458777600
aeris,hourly,2016-03-25 16:00,-1,17,7,45,7,7,60,Mostly Cloudy with Isolated Showers,Isolated Showers,0,20,0.04,160,75,1010,0,1458939600
aeris,hourly,2016-03-24 08:00,-6,1,-2,28,-2,-2,72,Mostly Cloudy,Mostly Cloudy,0,19,0,10,71,1014,0,1458824400
aeris,hourly,2016-03-24 18:00,-5,1,5,41,5,5,50,Sunny,Sunny,0,13,0,350,2,1012,0,1458860400
aeris,hourly,2016-03-25 04:00,-6,0,-4,25,-4,-4,81,Clear,Clear,0,6,0,140,6,1014,0,1458896400
aeris,hourly,2016-03-25 02:00,-7,0,-3,27,-3,-3,77,Clear,Clear,0,4,0,120,4,1015,0,1458889200
aeris,hourly,2016-03-23 23:00,-3,46,1,34,1,1,75,Cloudy with Light Snow Likely,Snow,0.17,26,0.17,30,100,1016,0,1458792000
aeris,hourly,2016-03-25 14:00,-2,17,6,43,6,6,58,Partly Cloudy with Isolated Showers,Isolated Showers,0,19,0.04,160,60,1012,0,1458932400
aeris,hourly,2016-03-25 12:00,-3,17,4,39,4,4,64,Partly Cloudy,Partly Cloudy,0,17,0,170,46,1013,0,1458925200
aeris,hourly,2016-03-24 05:00,-5,46,-1,30,-1,-1,74,Mostly Cloudy with Chance of Light Snow,Isolated Snow Showers,0,23,0,10,86,1015,0,1458813600
aeris,daily,2016-03-27 07:00,-4,10,None,None,7,-1,62,Mostly Sunny,Mostly Sunny,0,10,0,340,20,1022,None,1459080000
aeris,daily,2016-03-31 07:00,-2,45,None,None,5,2,68,Cloudy with Chance of Light Rain,Scattered Showers,0,45,2.24,260,96,988,None,1459425600
aeris,daily,2016-03-26 07:00,0,35,None,None,7,-2,70,Mostly Cloudy with Chance of Light Wintry Mix,Isolated Wintry Mix,0,13,0.56,250,88,1015,None,1458993600
aeris,daily,2016-03-25 07:00,-7,17,None,None,7,2,67,Partly Cloudy with Isolated Showers,Isolated Showers,0,16,1.4,160,49,1012,0,1458907200
aeris,daily,2016-03-30 07:00,2,46,None,None,12,4,69,Mostly Cloudy with Scattered Showers,Scattered Showers,0,17,13,160,85,1003,None,1459339200
aeris,daily,2016-03-28 07:00,-3,6,None,None,11,1,58,Mostly Sunny,Mostly Sunny,0,9,0,290,17,1021,None,1459166400
aeris,daily,2016-03-24 07:00,-6,46,None,None,6,-4,56,Partly Cloudy,Partly Cloudy,0,17,0,10,36,1013,0,1458820800
aeris,daily,2016-03-23 07:00,-2,98,None,None,2,-2,76,Cloudy with Chance of Light Snow,Isolated Snow Showers,10.1,24,4.58,60,98,1017,0,1458734400
aeris,daily,2016-03-29 07:00,-1,12,None,None,12,4,61,Partly Cloudy,Partly Cloudy,0,16,4.55,130,40,1022,None,1459252800
aeris,daily,2016-04-01 07:00,-8,None,None,None,2,-2,45,Partly Cloudy with Snow Flurries,Snow Flurries,0,36,0.47,315,64,1006,None,1459512000
