src,type,key,precipAccumulation,precipType,cloudCover,humidity,visibility,summary,pressure,windSpeed,temperature,time,windBearing,precipIntensity,dewPoint,precipProbability,temperatureMin,temperatureMax
forecast.io,hourly,2016-03-14 09:00,NA,rain,1,0.95,10,Light Rain,1003.18,5.44,47.26,1457964000,167,0.01,46.02,0.51,NA,NA
forecast.io,daily,2016-03-16 00:00,NA,rain,0.42,0.69,10,"Breezy in the morning and light rain starting in the afternoon, continuing until evening.",1003.31,14.64,NA,1458104400,259,0.0034,32.91,0.5,37.44,49.44
forecast.io,hourly,2016-03-13 15:00,NA,rain,1,0.74,6.18,Overcast,1007.93,11.37,55.26,1457899200,143,0.0021,47.14,0.05,NA,NA
forecast.io,hourly,2016-03-12 20:00,NA,NA,0.51,0.5,10,Partly Cloudy,1013.39,4.81,57.35,1457834400,148,0,38.85,0,NA,NA
forecast.io,daily,2016-03-12 00:00,NA,NA,0.35,0.59,9.24,Partly cloudy throughout the day.,1015.78,5.46,NA,1457762400,170,0,41.28,0,47.25,67.95
forecast.io,hourly,2016-03-13 20:00,NA,rain,0.92,0.8,8.18,Mostly Cloudy,1005.95,7.87,51.62,1457917200,133,0.0009,45.53,0.01,NA,NA
forecast.io,hourly,2016-03-12 18:00,NA,NA,0.31,0.46,9.66,Partly Cloudy,1013.34,4.52,62.09,1457827200,138,0,41.28,0,NA,NA
forecast.io,hourly,2016-03-13 10:00,NA,rain,0.96,0.82,6.25,Overcast,1010.9,11.48,48.98,1457881200,126,0.0023,43.58,0.06,NA,NA
forecast.io,hourly,2016-03-12 23:00,NA,NA,0.83,0.66,9.84,Mostly Cloudy,1013.24,5.69,50.92,1457845200,144,0,40.02,0,NA,NA
forecast.io,hourly,2016-03-13 23:00,NA,NA,0.86,0.88,9.6,Mostly Cloudy,1005.62,7.68,47.84,1457928000,139,0,44.49,0,NA,NA
forecast.io,hourly,2016-03-13 07:00,NA,rain,0.99,0.86,6.06,Overcast,1011.97,7.6,46.41,1457870400,130,0.0027,42.53,0.08,NA,NA
forecast.io,hourly,2016-03-14 12:00,NA,rain,1,0.86,10,Overcast,1002.44,5.52,51.99,1457974800,172,0.0035,48.03,0.12,NA,NA
forecast.io,hourly,2016-03-14 14:00,NA,rain,1,0.82,10,Drizzle,1001.49,5.78,57.28,1457982000,172,0.0063,51.82,0.29,NA,NA
forecast.io,hourly,2016-03-14 01:00,NA,NA,0.91,0.91,10,Mostly Cloudy,1005.05,7.71,46.95,1457935200,140,0,44.48,0,NA,NA
forecast.io,hourly,2016-03-14 10:00,NA,rain,1,0.93,10,Drizzle,1003.14,5.46,47.86,1457967600,169,0.0065,45.98,0.31,NA,NA
forecast.io,hourly,2016-03-13 12:00,NA,rain,0.97,0.78,6.52,Overcast,1009.68,11.86,49.72,1457888400,136,0.0036,43.12,0.13,NA,NA
forecast.io,hourly,2016-03-13 08:00,NA,rain,0.98,0.86,5.92,Overcast,1011.69,8.29,47.32,1457874000,128,0.0031,43.36,0.1,NA,NA
forecast.io,hourly,2016-03-13 18:00,NA,rain,0.98,0.76,6.05,Overcast,1006.43,9.03,54.72,1457910000,134,0.0014,47.43,0.03,NA,NA
forecast.io,hourly,2016-03-13 05:00,NA,rain,1,0.83,7.6,Overcast,1012.36,6.71,48.21,1457863200,140,0.0016,43.16,0.03,NA,NA
forecast.io,daily,2016-03-17 00:00,0.542,snow,0.82,0.75,NA,Mixed precipitation in the morning and evening.,1007.98,7.24,NA,1458190800,316,0.003,29.99,0.35,31.74,46.15
forecast.io,hourly,2016-03-14 16:00,NA,rain,0.98,0.81,10,Light Rain,1000.44,5.44,61.22,1457989200,168,0.0126,55.43,0.54,NA,NA
forecast.io,daily,2016-03-13 00:00,NA,rain,0.96,0.79,7.28,Overcast throughout the day.,1009.45,8.72,NA,1457848800,137,0.0017,44.35,0.13,46.41,56.31
forecast.io,hourly,2016-03-13 11:00,NA,rain,0.97,0.79,6.44,Overcast,1010.32,11.83,49.37,1457884800,130,0.0021,43.21,0.05,NA,NA
forecast.io,hourly,2016-03-14 18:00,NA,rain,0.79,0.84,10,Light Rain,1000.02,6.32,60.12,1457996400,150,0.0116,55.18,0.53,NA,NA
forecast.io,hourly,2016-03-13 17:00,NA,rain,0.99,0.75,6.04,Overcast,1006.89,9.64,55.7,1457906400,142,0.0015,47.75,0.03,NA,NA
forecast.io,daily,2016-03-19 00:00,0.423,snow,0.75,0.77,NA,Light snow (under 1 in.) until afternoon.,1019.33,4.67,NA,1458363600,259,0.0021,25.27,0.25,28.05,37.15
forecast.io,hourly,2016-03-14 06:00,NA,rain,0.99,0.98,10,Light Rain,1003.24,6.39,45.42,1457953200,156,0.0142,44.77,0.56,NA,NA
forecast.io,daily,2016-03-15 00:00,NA,rain,0.72,0.78,6.59,Rain until afternoon.,997.6,6.37,NA,1458018000,249,0.025,43.88,0.79,45.4,59.77
forecast.io,hourly,2016-03-13 09:00,NA,rain,0.97,0.84,5.98,Overcast,1011.34,9.9,48.28,1457877600,126,0.0022,43.75,0.06,NA,NA
forecast.io,hourly,2016-03-13 06:00,NA,rain,1,0.84,6.35,Overcast,1012.2,7.31,47.37,1457866800,137,0.0022,42.92,0.06,NA,NA
