src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-16 20:00,0,298,1,66,Chance of Rain,1002,40,100,0,70,27
wunder,hourly,2016-03-16 00:00,6,338,4,99,Rain,997,47,100,0,88,24
wunder,hourly,2016-03-15 22:00,7,340,4,98,Rain,999,49,100,0,86,19
wunder,hourly,2016-03-16 13:00,1,302,1,90,Rain,997,41,100,0,75,39
wunder,hourly,2016-03-16 06:00,3,321,3,99,Rain,994,42,100,0,82,39
wunder,hourly,2016-03-16 11:00,2,308,1,90,Rain,995,42,100,0,78,37
wunder,hourly,2016-03-15 15:00,9,114,2,78,Rain,1001,54,100,0,82,14
wunder,hourly,2016-03-15 17:00,9,96,3,95,Rain,1001,53,100,0,84,13
wunder,hourly,2016-03-16 10:00,2,309,1,93,Rain,995,42,100,0,77,35
wunder,hourly,2016-03-15 23:00,7,341,4,99,Rain,998,48,100,0,88,21
wunder,hourly,2016-03-16 19:00,0,299,1,77,Chance of Rain,1001,41,100,0,69,29
wunder,hourly,2016-03-15 18:00,9,53,5,94,Rain,1000,53,100,0,83,10
wunder,hourly,2016-03-15 13:00,10,134,0,5,Overcast,1002,54,100,0,88,13
wunder,hourly,2016-03-16 14:00,1,301,1,87,Rain,997,41,100,0,74,37
wunder,hourly,2016-03-16 12:00,2,304,1,90,Rain,996,41,100,0,79,37
wunder,hourly,2016-03-15 20:00,8,344,3,97,Rain,999,51,100,0,86,16
wunder,hourly,2016-03-16 23:00,0,298,0,60,Snow,1003,38,100,0,79,27
wunder,hourly,2016-03-15 16:00,9,107,1,95,Rain,1001,54,100,0,82,14
wunder,hourly,2016-03-16 16:00,0,301,1,87,Rain,998,42,100,0,68,34
wunder,hourly,2016-03-15 12:00,11,139,0,0,Overcast,1002,53,100,0,92,14
wunder,hourly,2016-03-16 21:00,0,300,1,67,Chance of Rain,1002,40,100,0,73,24
wunder,hourly,2016-03-15 14:00,10,125,0,44,Chance of Rain,1002,54,100,0,87,14
wunder,hourly,2016-03-16 02:00,4,332,4,98,Rain,995,44,100,0,85,35
wunder,hourly,2016-03-16 08:00,2,311,2,96,Rain,994,41,100,0,82,37
wunder,hourly,2016-03-16 18:00,0,300,1,75,Rain,1000,42,100,0,67,32
wunder,hourly,2016-03-16 07:00,2,316,2,99,Rain,994,41,100,0,81,35
wunder,hourly,2016-03-16 05:00,3,326,3,99,Rain,994,42,100,0,84,35
wunder,hourly,2016-03-16 03:00,4,331,5,99,Rain,994,43,100,0,85,37
wunder,hourly,2016-03-16 22:00,0,299,0,66,Chance of Rain,1003,39,100,0,76,29
wunder,hourly,2016-03-16 09:00,2,310,1,94,Rain,995,41,100,0,78,35
wunder,hourly,2016-03-16 15:00,1,300,1,87,Rain,998,41,100,0,71,37
wunder,hourly,2016-03-15 21:00,8,341,3,97,Rain,999,50,100,0,86,19
wunder,hourly,2016-03-16 01:00,5,333,4,98,Rain,996,45,100,0,85,32
wunder,hourly,2016-03-15 19:00,9,15,4,89,Rain,1000,52,100,0,84,16
wunder,hourly,2016-03-16 17:00,0,300,1,76,Rain,999,42,100,0,67,35
wunder,hourly,2016-03-16 04:00,3,328,3,99,Rain,994,43,100,0,85,35
