src,type,key,dewpointC,pop,tempC,tempF,maxTempC,minTempC,humidity,weather,weatherPrimary,snowCM,windSpeedKPH,precipMM,windDirDEG,sky,pressureMB,iceaccum,timestamp
aeris,hourly,2016-03-16 20:00,0,32,5,41,5,5,72,Cloudy,Cloudy,0,26,0.04,300,97,1004,0,1458176400
aeris,hourly,2016-03-17 17:00,-1,53,4,39,4,4,70,Cloudy with Scattered Light Showers,Scattered Showers,0,17,0.17,330,100,1013,0,1458252000
aeris,hourly,2016-03-17 07:00,0,32,1,34,1,1,92,Cloudy with Scattered Light Snow Showers,Scattered Snow Showers,0,20,0.17,310,95,1008,0,1458216000
aeris,hourly,2016-03-17 10:00,-2,53,2,36,2,2,79,Cloudy with Scattered Light Wintry Mix,Scattered Wintry Mix,0.08,17,0.17,310,98,1010,0,1458226800
aeris,hourly,2016-03-18 13:00,-4,12,3,37,3,3,61,Mostly Cloudy,Mostly Cloudy,0,10,0,10,75,1026,0,1458324000
aeris,hourly,2016-03-17 08:00,0,53,1,34,1,1,88,Cloudy with Scattered Light Snow Showers,Scattered Snow Showers,0.08,19,0.17,310,96,1008,0,1458219600
aeris,hourly,2016-03-18 01:00,-3,29,1,34,1,1,79,Cloudy with Scattered Light Snow Showers,Scattered Snow Showers,0,10,0.04,10,98,1020,0,1458280800
aeris,hourly,2016-03-18 15:00,-3,12,3,37,3,3,62,Mostly Cloudy,Mostly Cloudy,0,11,0,10,79,1025,0,1458331200
aeris,hourly,2016-03-18 06:00,-3,29,-2,28,-2,-2,86,Mostly Cloudy with Scattered Light Snow Showers,Scattered Snow Showers,0,10,0,20,90,1023,0,1458298800
aeris,hourly,2016-03-17 02:00,-1,32,2,36,2,2,82,Cloudy,Cloudy,0,20,0.17,300,99,1006,0,1458198000
aeris,hourly,2016-03-17 16:00,-1,53,4,39,4,4,67,Cloudy with Scattered Light Showers,Scattered Showers,0,17,0.17,330,100,1012,0,1458248400
aeris,hourly,2016-03-18 09:00,-4,12,-1,30,-1,-1,78,Mostly Cloudy,Mostly Cloudy,0,10,0,20,83,1025,0,1458309600
aeris,hourly,2016-03-16 16:00,0,12,6,43,6,6,65,Cloudy,Cloudy,0,37,0,290,95,1003,0,1458162000
aeris,hourly,2016-03-17 12:00,-1,53,3,37,3,3,70,Cloudy with Scattered Light Showers,Scattered Showers,0.08,17,0.17,310,98,1011,0,1458234000
aeris,hourly,2016-03-17 19:00,-2,53,3,37,3,3,70,Cloudy with Scattered Light Showers,Scattered Showers,0,14,0.17,340,99,1015,0,1458259200
aeris,hourly,2016-03-17 22:00,-2,29,3,37,3,3,73,Cloudy with Scattered Light Showers,Scattered Showers,0,12,0.04,350,97,1018,0,1458270000
aeris,hourly,2016-03-18 04:00,-3,29,-1,30,-1,-1,88,Mostly Cloudy with Scattered Light Snow Showers,Scattered Snow Showers,0,10,0,20,93,1021,0,1458291600
aeris,hourly,2016-03-17 06:00,0,32,1,34,1,1,93,Cloudy with Chance of Light Snow,Scattered Snow Showers,0,20,0.17,310,95,1007,0,1458212400
aeris,hourly,2016-03-17 00:00,-1,32,4,39,4,4,76,Cloudy,Cloudy,0,23,0.04,300,100,1005,0,1458190800
aeris,hourly,2016-03-17 21:00,-2,29,3,37,3,3,70,Cloudy with Scattered Light Showers,Scattered Showers,0,13,0.04,350,98,1017,0,1458266400
aeris,hourly,2016-03-18 07:00,-4,29,-2,28,-2,-2,85,Mostly Cloudy,Mostly Cloudy,0,10,0,20,88,1023,0,1458302400
aeris,hourly,2016-03-17 23:00,-2,29,2,36,2,2,72,Cloudy with Scattered Light Wintry Mix,Scattered Wintry Mix,0,12,0.04,350,97,1018,0,1458273600
aeris,hourly,2016-03-16 19:00,0,12,4,39,4,4,73,Cloudy,Cloudy,0,27,0,300,96,1004,0,1458172800
aeris,hourly,2016-03-18 14:00,-4,12,3,37,3,3,61,Mostly Cloudy,Mostly Cloudy,0,11,0,10,77,1025,0,1458327600
aeris,hourly,2016-03-18 12:00,-4,12,2,36,2,2,66,Mostly Cloudy,Mostly Cloudy,0,10,0,10,77,1026,0,1458320400
aeris,hourly,2016-03-16 23:00,-1,32,4,39,4,4,73,Cloudy,Cloudy,0,23,0.04,300,99,1005,0,1458187200
aeris,hourly,2016-03-16 17:00,0,12,6,43,6,6,67,Cloudy,Cloudy,0,36,0,290,95,1003,0,1458165600
aeris,hourly,2016-03-17 04:00,-1,32,2,36,2,2,82,Cloudy,Cloudy,0,19,0.17,300,97,1006,0,1458205200
aeris,hourly,2016-03-17 14:00,-2,53,5,41,5,5,64,Cloudy with Scattered Light Showers,Scattered Showers,0,17,0.17,320,99,1011,0,1458241200
aeris,hourly,2016-03-17 09:00,-1,53,1,34,1,1,85,Cloudy with Scattered Light Snow Showers,Scattered Snow Showers,0.08,17,0.17,310,97,1009,0,1458223200
aeris,hourly,2016-03-16 21:00,0,32,5,41,5,5,73,Cloudy,Cloudy,0,24,0.04,300,97,1005,0,1458180000
aeris,hourly,2016-03-17 03:00,-1,32,2,36,2,2,82,Cloudy,Cloudy,0,19,0.17,300,98,1006,0,1458201600
aeris,hourly,2016-03-16 15:00,1,12,6,43,6,6,67,Cloudy,Cloudy,0,39,0,290,95,1003,0,1458158400
