src,type,key,precipAccumulation,precipType,cloudCover,humidity,visibility,summary,pressure,windSpeed,temperature,time,windBearing,precipIntensity,dewPoint,precipProbability,temperatureMin,temperatureMax
forecast.io,hourly,2016-03-18 19:00,NA,rain,0.84,0.67,10,Mostly Cloudy,1023.49,9.06,38.01,1458345600,41,0.001,28.22,0.01,NA,NA
forecast.io,hourly,2016-03-18 22:00,NA,NA,0.85,0.77,10,Mostly Cloudy,1025.32,9.32,33.28,1458356400,46,0,26.87,0,NA,NA
forecast.io,hourly,2016-03-17 17:00,NA,rain,1,0.57,10,Overcast,1011.47,11.05,44.74,1458252000,279,0.0017,30.49,0.04,NA,NA
forecast.io,hourly,2016-03-17 21:00,NA,NA,0.64,0.73,9.18,Mostly Cloudy,1015.09,7.29,38.39,1458266400,282,0,30.34,0,NA,NA
forecast.io,hourly,2016-03-19 08:00,NA,NA,0.85,0.8,9.47,Mostly Cloudy,1026.78,5.39,28.78,1458392400,57,0,23.36,0,NA,NA
forecast.io,hourly,2016-03-17 10:00,NA,NA,0.5,0.74,9.77,Partly Cloudy,1008.69,10.16,38.03,1458226800,270,0,30.37,0,NA,NA
forecast.io,hourly,2016-03-18 21:00,NA,NA,0.84,0.74,10,Mostly Cloudy,1024.75,9.35,34.74,1458352800,44,0,27.33,0,NA,NA
forecast.io,hourly,2016-03-17 08:00,NA,NA,0.31,0.81,9.56,Partly Cloudy,1008.21,7.07,35.07,1458219600,267,0,29.86,0,NA,NA
forecast.io,hourly,2016-03-18 01:00,NA,NA,0.6,0.88,8.26,Mostly Cloudy,1017.35,4.71,33.6,1458280800,314,0,30.37,0,NA,NA
forecast.io,hourly,2016-03-18 15:00,NA,rain,1,0.6,10,Overcast,1022.71,7.54,40.37,1458331200,37,0.0011,27.55,0.02,NA,NA
forecast.io,hourly,2016-03-19 03:00,NA,NA,0.88,0.83,10,Mostly Cloudy,1026.07,6.73,28.81,1458374400,52,0,24.28,0,NA,NA
forecast.io,hourly,2016-03-18 06:00,NA,NA,0.93,0.86,6.65,Mostly Cloudy,1019.79,6.47,32.46,1458298800,35,0,28.78,0,NA,NA
forecast.io,hourly,2016-03-17 16:00,NA,rain,1,0.56,10,Overcast,1010.79,11.55,45.27,1458248400,279,0.0019,30.45,0.05,NA,NA
forecast.io,hourly,2016-03-18 09:00,0.007,snow,0.96,0.79,8.86,Overcast,1021.82,7.03,32.76,1458309600,46,0.001,26.91,0.01,NA,NA
forecast.io,hourly,2016-03-19 04:00,NA,NA,0.85,0.83,10,Mostly Cloudy,1026.13,6.09,28.07,1458378000,54,0,23.46,0,NA,NA
forecast.io,hourly,2016-03-17 12:00,NA,NA,0.76,0.62,10,Mostly Cloudy,1009.02,12.77,41.12,1458234000,270,0,29.28,0,NA,NA
forecast.io,hourly,2016-03-19 02:00,NA,NA,0.92,0.83,10,Mostly Cloudy,1026.05,7.58,29.65,1458370800,52,0,25.14,0,NA,NA
forecast.io,daily,2016-03-23 00:00,NA,rain,0.87,0.75,NA,Light snow (under 1 in.) in the morning and evening.,1012.25,12.42,NA,1458709200,353,0.0034,27.54,0.2,30.92,39.04
forecast.io,hourly,2016-03-17 19:00,NA,rain,0.94,0.64,9.81,Overcast,1013.07,9.53,42.2,1458259200,284,0.0008,31.05,0.01,NA,NA
forecast.io,hourly,2016-03-17 20:00,NA,NA,0.81,0.69,9.37,Mostly Cloudy,1014.05,8.62,40.26,1458262800,283,0,30.86,0,NA,NA
forecast.io,daily,2016-03-21 00:00,0.253,snow,0.44,0.57,NA,Mixed precipitation and breezy starting in the evening.,1021.11,8.08,NA,1458536400,109,0.0013,15.62,0.51,20.93,39.31
forecast.io,daily,2016-03-17 00:00,NA,rain,0.67,0.71,9.66,Mostly cloudy throughout the day.,1009.85,9.67,NA,1458190800,275,0.0008,30.53,0.12,34.8,45.27
forecast.io,hourly,2016-03-18 07:00,NA,NA,0.94,0.84,5.78,Overcast,1020.4,7.23,32.52,1458302400,36,0,28.1,0,NA,NA
forecast.io,hourly,2016-03-18 17:00,NA,rain,0.94,0.62,10,Overcast,1022.85,8.34,40.38,1458338400,39,0.0011,28.23,0.02,NA,NA
forecast.io,hourly,2016-03-18 04:00,NA,NA,0.89,0.9,9,Mostly Cloudy,1018.64,4.92,32.87,1458291600,14,0,30.25,0,NA,NA
forecast.io,daily,2016-03-19 00:00,0.05,snow,0.76,0.74,9.82,Mostly cloudy throughout the day.,1025.87,4.17,NA,1458363600,43,0.0003,27.13,0.01,26.84,43.65
forecast.io,hourly,2016-03-19 06:00,NA,NA,0.82,0.81,10,Mostly Cloudy,1026.38,5.71,26.84,1458385200,55,0,21.76,0,NA,NA
forecast.io,hourly,2016-03-18 14:00,NA,rain,0.99,0.61,10,Overcast,1022.78,7.22,39.02,1458327600,36,0.0012,26.77,0.02,NA,NA
forecast.io,daily,2016-03-24 00:00,0.234,snow,0.53,0.64,NA,Flurries in the morning.,1018.59,10.5,NA,1458795600,8,0.0011,19.19,0.06,26.17,35.43
forecast.io,hourly,2016-03-18 12:00,NA,rain,0.98,0.67,9.75,Overcast,1022.76,6.79,35.53,1458320400,40,0.0013,25.66,0.02,NA,NA
forecast.io,hourly,2016-03-19 05:00,NA,NA,0.84,0.82,10,Mostly Cloudy,1026.25,5.8,27.42,1458381600,55,0,22.62,0,NA,NA
forecast.io,current,2016-03-17 08:59,NA,NA,0.35,0.76,9.7,Partly Cloudy,1008.46,8.53,36.7,1458223141,268,0,29.95,0,NA,NA
forecast.io,hourly,2016-03-19 01:00,NA,NA,0.94,0.83,10,Overcast,1025.98,8.29,30.48,1458367200,51,0,25.81,0,NA,NA
forecast.io,hourly,2016-03-17 22:00,NA,NA,0.52,0.76,9.07,Partly Cloudy,1015.94,6.69,36.8,1458270000,283,0,30.01,0,NA,NA
forecast.io,hourly,2016-03-17 14:00,NA,rain,0.94,0.59,10,Overcast,1009.69,13.15,43.79,1458241200,278,0.0012,30.3,0.02,NA,NA
forecast.io,hourly,2016-03-17 09:00,NA,NA,0.35,0.76,9.7,Partly Cloudy,1008.46,8.56,36.73,1458223200,268,0,29.95,0,NA,NA
forecast.io,hourly,2016-03-18 23:00,NA,NA,0.88,0.79,10,Mostly Cloudy,1025.66,9.12,32.19,1458360000,47,0,26.53,0,NA,NA
forecast.io,hourly,2016-03-18 08:00,NA,NA,0.95,0.81,8.49,Overcast,1021.1,6.87,32.52,1458306000,43,0,27.42,0,NA,NA
forecast.io,hourly,2016-03-18 16:00,NA,rain,0.99,0.6,10,Overcast,1022.71,7.92,40.95,1458334800,38,0.0011,28.1,0.02,NA,NA
forecast.io,hourly,2016-03-18 02:00,NA,NA,0.71,0.89,8.61,Mostly Cloudy,1017.76,4.46,33.42,1458284400,334,0,30.64,0,NA,NA
forecast.io,hourly,2016-03-18 11:00,0.011,snow,0.97,0.72,9.55,Overcast,1022.65,6.99,33.95,1458316800,45,0.0014,25.75,0.03,NA,NA
forecast.io,hourly,2016-03-17 11:00,NA,NA,0.62,0.72,9.89,Mostly Cloudy,1008.86,11.41,39.79,1458230400,270,0,31.38,0,NA,NA
forecast.io,hourly,2016-03-17 23:00,NA,NA,0.4,0.81,8.95,Partly Cloudy,1016.54,6.27,35.48,1458273600,287,0,30.13,0,NA,NA
forecast.io,daily,2016-03-22 00:00,NA,rain,0.34,0.69,NA,Breezy and mostly cloudy in the morning.,1004.41,6.82,NA,1458622800,227,0.0027,33.46,0.39,31.27,57.58
forecast.io,hourly,2016-03-17 15:00,NA,rain,0.99,0.56,10,Overcast,1010.2,12.22,44.8,1458244800,280,0.0019,30.04,0.05,NA,NA
forecast.io,hourly,2016-03-17 13:00,NA,rain,0.82,0.63,10,Mostly Cloudy,1009.28,12.79,41.46,1458237600,273,0.0011,29.88,0.02,NA,NA
forecast.io,hourly,2016-03-18 10:00,0.01,snow,0.97,0.76,9.24,Overcast,1022.37,7.07,33.07,1458313200,47,0.0013,26.27,0.02,NA,NA
forecast.io,daily,2016-03-18 00:00,0.126,snow,0.88,0.76,9.2,Mostly cloudy throughout the day.,1021.63,6.52,NA,1458277200,34,0.0007,28.02,0.03,32.19,40.95
forecast.io,hourly,2016-03-18 20:00,NA,rain,0.83,0.71,10,Mostly Cloudy,1024.07,9.25,36.44,1458349200,42,0.0008,27.83,0.01,NA,NA
forecast.io,daily,2016-03-20 00:00,NA,NA,0.69,0.68,8.79,Mostly cloudy throughout the day.,1024.32,11.32,NA,1458450000,324,0,23.97,0,28.32,41.4
forecast.io,hourly,2016-03-18 13:00,NA,rain,0.98,0.63,10,Overcast,1022.8,7,37.39,1458324000,37,0.0012,26.09,0.02,NA,NA
forecast.io,hourly,2016-03-17 18:00,NA,rain,0.98,0.61,10,Overcast,1012.24,10.43,43.69,1458255600,283,0.0012,31.3,0.02,NA,NA
forecast.io,hourly,2016-03-18 18:00,NA,rain,0.88,0.64,10,Mostly Cloudy,1023.11,8.76,39.32,1458342000,40,0.0011,28.33,0.02,NA,NA
forecast.io,hourly,2016-03-18 03:00,NA,NA,0.81,0.9,8.88,Mostly Cloudy,1018.17,4.48,33.1,1458288000,358,0,30.53,0,NA,NA
forecast.io,hourly,2016-03-18 05:00,NA,NA,0.92,0.89,8.72,Mostly Cloudy,1019.18,5.8,32.76,1458295200,27,0,29.76,0,NA,NA
forecast.io,hourly,2016-03-19 07:00,NA,NA,0.82,0.8,10,Mostly Cloudy,1026.53,5.57,27.56,1458388800,55,0,22.21,0,NA,NA
