src,type,key,dewpointC,pop,tempC,tempF,maxTempC,minTempC,humidity,weather,weatherPrimary,snowCM,windSpeedKPH,precipMM,windDirDEG,sky,pressureMB,iceaccum,timestamp
aeris,hourly,2016-03-11 22:00,4,0,13,55,13,13,57,Clear,Clear,0,14,0,180,1,1018,0,1457755200
aeris,hourly,2016-03-13 15:00,10,61,13,55,13,13,78,Cloudy with Light Rain Likely,Rain,0,14,0.34,130,97,1005,0,1457899200
aeris,hourly,2016-03-11 18:00,6,1,15,59,15,15,56,Sunny,Sunny,0,14,0,180,2,1018,0,1457740800
aeris,hourly,2016-03-12 10:00,5,7,13,55,13,13,61,Mostly Sunny,Mostly Sunny,0,12,0,190,9,1017,0,1457798400
aeris,hourly,2016-03-12 00:00,6,0,12,54,12,12,66,Clear,Clear,0,14,0,190,2,1018,0,1457762400
aeris,hourly,2016-03-12 17:00,6,7,17,63,17,17,48,Partly Cloudy,Partly Cloudy,0,12,0,140,42,1013,0,1457823600
aeris,hourly,2016-03-12 18:00,6,7,16,61,16,16,52,Partly Cloudy with Scattered Showers,Scattered Showers,0,12,0,140,48,1013,0,1457827200
aeris,hourly,2016-03-13 10:00,9,61,11,52,11,11,83,Cloudy with Chance of Light Rain,Scattered Showers,0,13,0.25,120,98,1009,0,1457881200
aeris,hourly,2016-03-12 09:00,5,7,10,50,10,10,69,Mostly Sunny,Mostly Sunny,0,12,0,200,8,1018,0,1457794800
aeris,hourly,2016-03-13 07:00,8,59,9,48,9,9,93,Cloudy with Chance of Light Rain,Scattered Showers,0,12,0.3,120,100,1009,0,1457870400
aeris,hourly,2016-03-12 22:00,7,59,12,54,12,12,71,Mostly Cloudy with Scattered Showers,Scattered Showers,0,13,0.13,140,82,1013,0,1457841600
aeris,hourly,2016-03-12 05:00,5,0,8,46,8,8,83,Clear,Clear,0,12,0,190,5,1018,0,1457780400
aeris,hourly,2016-03-12 11:00,6,7,15,59,15,15,54,Mostly Sunny,Mostly Sunny,0,12,0,190,10,1017,0,1457802000
aeris,hourly,2016-03-11 23:00,5,0,12,54,12,12,61,Clear,Clear,0,14,0,190,2,1018,0,1457758800
aeris,hourly,2016-03-12 15:00,6,7,19,66,19,19,43,Mostly Sunny,Mostly Sunny,0,12,0,160,19,1013,0,1457816400
aeris,hourly,2016-03-13 12:00,9,61,12,54,12,12,83,Cloudy with Chance of Light Rain,Scattered Showers,0,14,0.25,130,97,1008,0,1457888400
aeris,hourly,2016-03-13 08:00,8,61,10,50,10,10,90,Cloudy with Chance of Light Rain,Scattered Showers,0,12,0.25,120,99,1009,0,1457874000
