src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-18 19:00,-3,30,0,40,Snow Showers,1023,37,98,0,65,13
wunder,hourly,2016-03-18 22:00,-4,32,0,41,Snow Showers,1024,33,98,3,72,11
wunder,hourly,2016-03-17 21:00,-2,295,0,15,Overcast,1015,36,99,0,73,16
wunder,hourly,2016-03-19 08:00,-4,34,0,20,Overcast,1025,31,98,0,76,8
wunder,hourly,2016-03-18 21:00,-3,31,0,36,Snow Showers,1024,34,97,0,70,13
wunder,hourly,2016-03-18 01:00,-1,332,0,24,Overcast,1017,35,87,0,82,6
wunder,hourly,2016-03-18 15:00,-4,37,0,11,Overcast,1022,38,98,0,57,13
wunder,hourly,2016-03-19 03:00,-4,33,0,42,Snow Showers,1025,31,100,3,76,11
wunder,hourly,2016-03-18 06:00,-4,40,0,3,Mostly Cloudy,1020,31,67,0,78,11
wunder,hourly,2016-03-18 09:00,-4,37,0,3,Overcast,1022,32,87,0,76,10
wunder,hourly,2016-03-19 04:00,-4,28,0,42,Snow Showers,1025,31,100,0,77,10
wunder,hourly,2016-03-19 02:00,-4,36,0,36,Snow Showers,1025,31,99,3,74,11
wunder,hourly,2016-03-18 07:00,-4,40,0,3,Mostly Cloudy,1020,30,61,0,79,10
wunder,hourly,2016-03-18 17:00,-4,44,0,15,Overcast,1023,38,98,0,61,14
wunder,hourly,2016-03-18 04:00,-3,28,0,6,Overcast,1019,33,87,0,77,10
wunder,hourly,2016-03-19 00:00,-4,37,0,45,Snow Showers,1025,32,99,3,71,13
wunder,hourly,2016-03-19 06:00,-4,23,0,47,Snow Showers,1025,31,99,0,77,10
wunder,hourly,2016-03-18 14:00,-4,32,0,11,Overcast,1022,38,95,0,57,11
wunder,hourly,2016-03-18 12:00,-4,44,0,9,Overcast,1022,37,93,0,60,11
wunder,hourly,2016-03-19 05:00,-4,27,0,46,Snow Showers,1025,31,100,0,78,10
wunder,hourly,2016-03-19 01:00,-4,40,0,41,Snow Showers,1025,32,99,3,72,11
wunder,hourly,2016-03-17 22:00,-2,296,0,49,Snow Showers,1016,35,94,3,76,14
wunder,hourly,2016-03-18 23:00,-4,36,0,36,Snow Showers,1025,33,98,3,72,13
wunder,hourly,2016-03-18 08:00,-4,35,0,3,Mostly Cloudy,1021,31,67,0,77,8
wunder,hourly,2016-03-18 16:00,-4,42,0,14,Overcast,1022,38,99,0,59,13
wunder,hourly,2016-03-18 02:00,-1,8,0,20,Overcast,1018,34,97,0,84,6
wunder,hourly,2016-03-18 11:00,-4,46,0,10,Overcast,1022,36,90,0,66,11
wunder,hourly,2016-03-17 23:00,-2,300,1,47,Snow Showers,1016,35,92,5,81,13
wunder,hourly,2016-03-18 10:00,-4,41,0,3,Overcast,1022,34,84,0,71,11
wunder,hourly,2016-03-18 00:00,-2,308,0,43,Snow Showers,1017,35,87,0,77,10
wunder,hourly,2016-03-18 20:00,-3,29,0,37,Snow Showers,1023,36,97,0,68,11
wunder,hourly,2016-03-18 13:00,-4,36,0,8,Overcast,1022,38,92,0,58,13
wunder,hourly,2016-03-18 18:00,-3,39,0,20,Overcast,1023,38,95,0,62,13
wunder,hourly,2016-03-18 03:00,-2,27,0,9,Overcast,1018,34,92,0,82,10
wunder,hourly,2016-03-18 05:00,-3,36,0,3,Mostly Cloudy,1019,32,79,0,79,10
wunder,hourly,2016-03-19 07:00,-4,28,0,33,Snow Showers,1025,31,99,0,77,10
