src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-16 20:00,-1,297,0,8,Mostly Cloudy,1004,43,75,0,60,27
wunder,hourly,2016-03-16 00:00,6,328,0,49,Chance of Rain,1000,46,100,0,87,32
wunder,hourly,2016-03-17 07:00,-1,302,0,51,Snow Showers,1006,35,100,3,83,23
wunder,hourly,2016-03-17 10:00,-3,323,0,48,Snow Showers,1008,36,91,0,71,21
wunder,hourly,2016-03-17 08:00,-2,312,0,45,Snow Showers,1007,34,98,3,81,23
wunder,hourly,2016-03-16 06:00,3,313,1,45,Chance of Rain,998,42,100,0,79,35
wunder,hourly,2016-03-16 11:00,1,302,0,35,Chance of Rain,1000,42,96,0,73,37
wunder,hourly,2016-03-17 02:00,0,291,0,42,Chance of Rain,1005,37,94,0,80,27
wunder,hourly,2016-03-16 14:00,-1,296,0,38,Chance of Rain,1001,43,94,0,63,39
wunder,hourly,2016-03-16 16:00,-2,295,0,37,Chance of Rain,1002,44,86,0,54,37
wunder,hourly,2016-03-16 10:00,1,301,0,35,Chance of Rain,999,42,95,0,74,34
wunder,hourly,2016-03-15 23:00,7,330,0,13,Partly Cloudy,1001,47,100,0,89,32
wunder,hourly,2016-03-17 06:00,-1,300,0,45,Snow Showers,1006,35,100,3,82,23
wunder,hourly,2016-03-17 00:00,-1,295,0,40,Chance of Rain,1005,39,95,0,74,29
wunder,hourly,2016-03-16 19:00,-2,296,0,11,Overcast,1003,44,95,0,57,31
wunder,hourly,2016-03-16 12:00,1,296,0,35,Chance of Rain,1000,42,90,0,70,39
wunder,hourly,2016-03-16 23:00,-1,300,0,14,Overcast,1004,40,92,0,70,29
wunder,hourly,2016-03-16 17:00,-2,295,0,30,Chance of Rain,1002,44,93,0,55,37
wunder,hourly,2016-03-16 13:00,0,298,0,47,Chance of Rain,1000,43,91,0,66,42
wunder,hourly,2016-03-17 04:00,-1,297,1,42,Snow Showers,1005,36,94,3,83,23
wunder,hourly,2016-03-17 09:00,-2,320,0,44,Snow Showers,1008,35,94,3,76,24
wunder,hourly,2016-03-16 21:00,-1,296,0,7,Mostly Cloudy,1004,41,72,0,64,27
wunder,hourly,2016-03-17 03:00,-1,295,1,41,Snow,1005,37,92,0,81,26
wunder,hourly,2016-03-16 15:00,-1,297,0,38,Chance of Rain,1001,44,86,0,57,39
wunder,hourly,2016-03-16 02:00,4,326,2,85,Rain,1000,45,100,0,82,37
wunder,hourly,2016-03-16 08:00,2,308,0,35,Chance of Rain,998,41,96,0,77,34
wunder,hourly,2016-03-17 05:00,-1,299,0,62,Snow Showers,1006,36,96,3,83,19
wunder,hourly,2016-03-16 07:00,2,311,0,43,Chance of Rain,998,42,100,0,78,32
wunder,hourly,2016-03-16 05:00,2,316,0,48,Chance of Rain,998,43,99,0,76,34
wunder,hourly,2016-03-17 01:00,0,291,0,46,Chance of Rain,1005,38,92,0,77,27
wunder,hourly,2016-03-16 03:00,3,327,1,52,Chance of Rain,999,44,100,0,78,39
wunder,hourly,2016-03-16 22:00,-1,297,0,10,Overcast,1004,40,91,0,67,31
wunder,hourly,2016-03-16 09:00,2,304,0,36,Chance of Rain,999,42,91,0,77,35
wunder,hourly,2016-03-16 01:00,5,327,3,86,Rain,1000,45,100,0,86,35
wunder,hourly,2016-03-16 18:00,-2,295,0,13,Partly Cloudy,1003,44,94,0,56,34
wunder,hourly,2016-03-16 04:00,2,323,0,44,Chance of Rain,998,44,99,0,74,37
