src,type,key,dewpointC,pop,tempC,tempF,maxTempC,minTempC,humidity,weather,weatherPrimary,snowCM,windSpeedKPH,precipMM,windDirDEG,sky,pressureMB,iceaccum,timestamp
aeris,hourly,2016-03-21 17:00,-1,0,9,48,9,9,50,Mostly Cloudy,Mostly Cloudy,0,14,0,150,74,1012,0,1458597600
aeris,hourly,2016-03-22 03:00,1,5,4,39,4,4,81,Partly Cloudy,Partly Cloudy,0,8,0,140,66,1003,0,1458633600
aeris,hourly,2016-03-21 22:00,0,5,5,41,5,5,70,Mostly Cloudy,Mostly Cloudy,0,14,0,130,71,1008,0,1458615600
aeris,hourly,2016-03-20 08:00,-3,0,-1,30,-1,-1,84,Partly Cloudy,Partly Cloudy,0,7,0,320,61,1029,0,1458478800
aeris,hourly,2016-03-21 09:00,-3,0,1,34,1,1,78,Mostly Cloudy,Mostly Cloudy,0,7,0,160,76,1021,0,1458568800
aeris,hourly,2016-03-20 14:00,-4,0,5,41,5,5,55,Mostly Cloudy,Mostly Cloudy,0,13,0,320,73,1027,0,1458500400
aeris,hourly,2016-03-21 19:00,0,0,8,46,8,8,56,Mostly Cloudy,Mostly Cloudy,0,13,0,140,80,1010,0,1458604800
aeris,hourly,2016-03-20 23:00,-3,0,2,36,2,2,72,Mostly Cloudy,Mostly Cloudy,0,6,0,300,82,1025,0,1458532800
aeris,hourly,2016-03-22 05:00,1,5,3,37,3,3,86,Partly Cloudy,Partly Cloudy,0,7,0,10,62,1002,0,1458640800
aeris,hourly,2016-03-20 17:00,-4,0,5,41,5,5,53,Mostly Cloudy,Mostly Cloudy,0,13,0,310,76,1025,0,1458511200
aeris,hourly,2016-03-21 03:00,-3,0,-1,30,-1,-1,85,Mostly Cloudy,Mostly Cloudy,0,1,0,250,81,1024,0,1458547200
aeris,hourly,2016-03-20 11:00,-3,0,2,36,2,2,67,Partly Cloudy,Partly Cloudy,0,12,0,330,67,1028,0,1458489600
aeris,hourly,2016-03-21 11:00,-3,0,3,37,3,3,64,Mostly Cloudy,Mostly Cloudy,0,12,0,160,74,1020,0,1458576000
aeris,hourly,2016-03-20 21:00,-3,0,3,37,3,3,66,Mostly Cloudy,Mostly Cloudy,0,7,0,310,78,1025,0,1458525600
