src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-23 08:00,-3,59,0,2,Overcast,1015,33,96,0,74,29
wunder,hourly,2016-03-24 14:00,-7,5,0,1,Partly Cloudy,1014,39,48,0,46,19
wunder,hourly,2016-03-24 01:00,-6,34,0,47,Snow Showers,1015,32,97,0,67,26
wunder,hourly,2016-03-23 22:00,-6,42,0,41,Snow Showers,1016,33,99,3,64,27
wunder,hourly,2016-03-24 07:00,-9,18,0,16,Mostly Cloudy,1015,28,78,0,59,19
wunder,hourly,2016-03-23 14:00,-8,60,1,49,Snow Showers,1016,37,99,5,47,32
wunder,hourly,2016-03-24 03:00,-6,27,0,38,Snow Showers,1015,31,97,0,66,26
wunder,hourly,2016-03-23 19:00,-5,51,1,65,Snow,1016,36,100,5,60,31
wunder,hourly,2016-03-23 13:00,-7,60,1,44,Snow Showers,1016,36,99,5,51,32
wunder,hourly,2016-03-24 11:00,-7,21,0,1,Mostly Cloudy,1015,33,65,0,55,23
wunder,hourly,2016-03-24 13:00,-7,13,0,1,Mostly Cloudy,1014,37,61,0,49,23
wunder,hourly,2016-03-23 18:00,-6,53,1,62,Snow,1016,37,100,8,56,31
wunder,hourly,2016-03-23 12:00,-6,63,1,37,Snow Showers,1016,36,100,5,53,32
wunder,hourly,2016-03-23 06:00,-2,54,0,0,Overcast,1013,35,100,0,76,27
wunder,hourly,2016-03-23 11:00,-5,62,0,48,Snow Showers,1016,35,100,3,59,31
wunder,hourly,2016-03-23 05:00,-2,51,0,0,Overcast,1013,35,100,0,78,24
wunder,hourly,2016-03-24 00:00,-6,37,0,48,Snow Showers,1015,32,98,3,66,27
wunder,hourly,2016-03-24 12:00,-7,17,0,1,Mostly Cloudy,1014,35,63,0,52,23
wunder,hourly,2016-03-24 16:00,-7,0,0,1,Clear,1013,41,22,0,41,18
wunder,hourly,2016-03-24 02:00,-6,31,0,38,Snow Showers,1015,31,99,0,68,26
wunder,hourly,2016-03-24 10:00,-8,21,0,2,Mostly Cloudy,1015,31,66,0,59,23
wunder,hourly,2016-03-23 07:00,-3,56,0,0,Overcast,1014,34,100,0,74,27
wunder,hourly,2016-03-23 17:00,-6,53,1,67,Snow,1016,37,100,8,55,32
wunder,hourly,2016-03-23 20:00,-5,49,0,56,Snow Showers,1016,35,100,3,61,27
wunder,hourly,2016-03-24 09:00,-8,20,0,2,Mostly Cloudy,1015,28,67,0,65,23
wunder,hourly,2016-03-23 09:00,-4,59,0,8,Overcast,1015,34,100,0,69,29
wunder,hourly,2016-03-24 06:00,-9,20,0,31,Snow Showers,1015,29,83,0,59,24
wunder,hourly,2016-03-24 04:00,-7,23,0,38,Snow Showers,1014,30,97,0,65,26
wunder,hourly,2016-03-23 21:00,-6,43,0,44,Snow Showers,1016,34,100,3,62,27
wunder,hourly,2016-03-24 15:00,-7,3,0,1,Partly Cloudy,1013,40,32,0,42,19
wunder,hourly,2016-03-24 08:00,-8,19,0,2,Mostly Cloudy,1015,28,77,0,64,19
wunder,hourly,2016-03-23 15:00,-8,63,1,48,Snow Showers,1016,37,97,8,47,31
wunder,hourly,2016-03-23 23:00,-6,40,0,37,Snow Showers,1016,32,100,3,65,29
wunder,hourly,2016-03-23 16:00,-6,59,1,68,Snow,1016,37,100,8,52,31
wunder,hourly,2016-03-23 10:00,-4,59,0,45,Snow Showers,1016,35,100,3,64,29
wunder,hourly,2016-03-24 05:00,-8,21,0,32,Snow Showers,1015,29,92,0,62,24
