src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-14 09:00,7,159,0,36,Chance of Rain,1004,47,98,0,88,6
wunder,hourly,2016-03-14 14:00,9,162,0,15,Overcast,1003,56,94,0,77,8
wunder,hourly,2016-03-14 03:00,6,145,0,24,Overcast,1004,47,99,0,86,8
wunder,hourly,2016-03-14 11:00,8,165,0,6,Overcast,1004,52,97,0,81,10
wunder,hourly,2016-03-14 00:00,7,140,0,15,Overcast,1006,50,93,0,82,6
wunder,hourly,2016-03-14 20:00,11,118,0,46,Chance of Rain,1002,55,87,0,87,13
wunder,hourly,2016-03-15 01:00,9,124,1,39,Chance of Rain,1001,52,93,0,92,14
wunder,hourly,2016-03-14 01:00,7,143,0,15,Overcast,1005,48,99,0,84,8
wunder,hourly,2016-03-14 13:00,9,166,0,15,Overcast,1003,55,97,0,77,10
wunder,hourly,2016-03-14 19:00,11,119,0,31,Chance of Rain,1001,56,87,0,82,11
wunder,hourly,2016-03-14 22:00,10,124,0,36,Chance of Rain,1002,53,92,0,91,13
wunder,hourly,2016-03-15 03:00,9,126,1,66,Chance of Rain,999,51,87,0,94,14
wunder,hourly,2016-03-14 10:00,7,161,0,24,Overcast,1004,49,98,0,85,8
wunder,hourly,2016-03-14 16:00,10,145,0,15,Overcast,1002,57,91,0,76,10
wunder,hourly,2016-03-14 06:00,6,149,0,19,Fog,1004,47,100,0,87,8
wunder,hourly,2016-03-15 00:00,10,124,0,56,Chance of Rain,1001,52,94,0,92,13
wunder,hourly,2016-03-15 06:00,9,122,1,62,Rain,998,50,100,0,93,14
wunder,hourly,2016-03-14 21:00,10,121,0,47,Chance of Rain,1002,54,90,0,89,13
wunder,hourly,2016-03-14 18:00,10,128,0,15,Overcast,1001,57,87,0,79,13
wunder,hourly,2016-03-14 04:00,6,144,0,24,Overcast,1004,47,100,0,87,8
wunder,hourly,2016-03-14 15:00,9,143,0,15,Overcast,1002,57,92,0,76,10
wunder,hourly,2016-03-15 02:00,9,128,1,70,Chance of Rain,1000,51,90,0,93,14
wunder,hourly,2016-03-14 07:00,6,151,0,18,Fog,1004,47,100,0,87,6
wunder,hourly,2016-03-13 22:00,7,137,0,15,Overcast,1006,51,92,0,78,6
wunder,hourly,2016-03-15 05:00,9,123,1,62,Rain,998,51,100,0,94,14
wunder,hourly,2016-03-15 08:00,9,120,2,94,Rain,998,50,100,0,94,14
wunder,hourly,2016-03-13 23:00,7,138,0,15,Overcast,1006,50,92,0,81,6
wunder,hourly,2016-03-14 17:00,10,138,0,15,Overcast,1002,57,90,0,77,11
wunder,hourly,2016-03-15 04:00,9,126,1,63,Rain,999,51,100,0,94,14
wunder,hourly,2016-03-14 12:00,8,168,0,5,Overcast,1004,53,97,0,81,8
wunder,hourly,2016-03-15 07:00,9,120,1,51,Chance of Rain,998,50,93,0,93,14
wunder,hourly,2016-03-14 23:00,10,123,0,37,Chance of Rain,1001,52,91,0,91,13
wunder,hourly,2016-03-14 05:00,6,146,0,15,Overcast,1004,47,99,0,87,6
wunder,hourly,2016-03-14 08:00,6,155,0,34,Chance of Rain,1004,47,98,0,89,6
wunder,hourly,2016-03-14 02:00,7,146,0,22,Overcast,1005,48,99,0,86,8
wunder,hourly,2016-03-15 09:00,9,129,2,93,Rain,998,51,100,0,94,16
