src,type,key,precipAccumulation,precipType,cloudCover,humidity,visibility,summary,pressure,windSpeed,temperature,time,windBearing,precipIntensity,dewPoint,precipProbability,temperatureMin,temperatureMax
forecast.io,hourly,2016-03-11 22:00,NA,NA,0.05,0.81,10,Clear,1019.75,11.98,49.59,1457755200,182,0,43.85,0,NA,NA
forecast.io,hourly,2016-03-10 11:00,NA,NA,1,0.84,8.6,Overcast,1023.07,3.66,36.7,1457629200,314,0,32.33,0,NA,NA
forecast.io,hourly,2016-03-11 18:00,NA,NA,0,0.61,10,Clear,1019.47,12.72,60.04,1457740800,179,0,46.53,0,NA,NA
forecast.io,hourly,2016-03-11 06:00,NA,NA,0.11,0.92,9.53,Clear,1026.69,5.34,33.88,1457697600,156,0,31.73,0,NA,NA
forecast.io,hourly,2016-03-11 12:00,NA,NA,0.2,0.57,10,Clear,1023.91,13.53,54.3,1457719200,170,0,39.24,0,NA,NA
forecast.io,hourly,2016-03-11 01:00,NA,NA,0.04,0.89,8.23,Clear,1026.54,4.46,35.69,1457679600,168,0,32.77,0,NA,NA
forecast.io,hourly,2016-03-12 09:00,NA,NA,0.49,0.73,10,Partly Cloudy,1017.83,8.8,49.09,1457794800,184,0,40.81,0,NA,NA
forecast.io,daily,2016-03-14 00:00,NA,rain,0.36,0.76,NA,Drizzle in the morning.,1000.9,6.83,NA,1457931600,275,0.0024,48.46,0.28,51.35,65.48
forecast.io,daily,2016-03-16 00:00,NA,rain,0.27,0.64,NA,Breezy in the morning and light rain starting in the afternoon.,1005.63,15.19,NA,1458104400,259,0.0051,34.66,0.46,39.26,52.69
forecast.io,hourly,2016-03-10 17:00,NA,NA,0,0.7,9.58,Clear,1022.5,2.91,47.16,1457650800,275,0,37.74,0,NA,NA
forecast.io,hourly,2016-03-10 23:00,NA,NA,0.02,0.86,8.54,Clear,1026.05,3.66,36.55,1457672400,181,0,32.75,0,NA,NA
forecast.io,hourly,2016-03-11 17:00,NA,NA,0,0.56,10,Clear,1019.63,13.55,62.35,1457737200,180,0,46.68,0,NA,NA
forecast.io,hourly,2016-03-11 07:00,NA,NA,0.08,0.88,9.76,Clear,1026.51,6.38,35.77,1457701200,157,0,32.48,0,NA,NA
forecast.io,hourly,2016-03-11 23:00,NA,NA,0.02,0.83,10,Clear,1019.55,11.51,48.35,1457758800,185,0,43.54,0,NA,NA
forecast.io,hourly,2016-03-11 03:00,NA,NA,0.07,0.92,7.21,Clear,1026.94,5.26,34.72,1457686800,163,0,32.7,0,NA,NA
forecast.io,current,2016-03-10 10:59,NA,NA,1,0.84,8.6,Overcast,1023.07,3.66,36.7,1457629170,314,0,32.33,0,NA,NA
forecast.io,hourly,2016-03-12 06:00,NA,NA,0.06,0.9,10,Clear,1018.2,8.79,42.6,1457784000,183,0,40,0,NA,NA
forecast.io,hourly,2016-03-11 08:00,NA,NA,0.03,0.8,10,Clear,1026.24,8.12,38.68,1457704800,162,0,33.02,0,NA,NA
forecast.io,hourly,2016-03-12 03:00,NA,NA,0.01,0.89,10,Clear,1018.49,9.03,45.47,1457773200,188,0,42.54,0,NA,NA
forecast.io,hourly,2016-03-11 13:00,NA,NA,0.18,0.53,10,Clear,1022.86,14.37,58.1,1457722800,173,0,40.95,0,NA,NA
forecast.io,hourly,2016-03-12 05:00,NA,NA,0.01,0.92,10,Clear,1018.29,8.7,42.94,1457780400,185,0,40.65,0,NA,NA
forecast.io,hourly,2016-03-11 15:00,NA,NA,0.03,0.5,10,Clear,1020.56,15.54,64.46,1457730000,181,0,45.54,0,NA,NA
forecast.io,daily,2016-03-12 00:00,NA,rain,0.5,0.71,9.51,Drizzle overnight.,1015.2,8.96,NA,1457762400,172,0.0005,43.05,0.31,42.6,66.56
forecast.io,daily,2016-03-13 00:00,NA,rain,0.94,0.89,10,Mostly cloudy throughout the day.,1004.93,6.12,NA,1457848800,134,0.0032,52.06,0.45,49.29,63.92
forecast.io,hourly,2016-03-12 02:00,NA,NA,0,0.89,10,Clear,1018.73,9.55,46.13,1457769600,188,0,42.93,0,NA,NA
forecast.io,hourly,2016-03-12 10:00,NA,NA,0.55,0.66,10,Partly Cloudy,1017.24,9.01,52.79,1457798400,184,0,41.64,0,NA,NA
forecast.io,hourly,2016-03-11 21:00,NA,NA,0.06,0.77,10,Clear,1019.83,12.36,51.38,1457751600,180,0,44.38,0,NA,NA
forecast.io,daily,2016-03-15 00:00,NA,rain,0.78,0.74,NA,Light rain until evening.,999.62,6.08,NA,1458018000,169,0.0115,44.23,0.67,47.34,60.71
forecast.io,hourly,2016-03-12 04:00,NA,NA,0,0.91,10,Clear,1018.36,8.75,44.26,1457776800,187,0,41.7,0,NA,NA
