src,type,key,precipAccumulation,precipType,cloudCover,humidity,visibility,summary,pressure,windSpeed,temperature,time,windBearing,precipIntensity,dewPoint,precipProbability,temperatureMin,temperatureMax
forecast.io,hourly,2016-03-16 08:00,NA,rain,1,0.87,2.83,Light Rain and Breezy,998.85,20.19,39.71,1458133200,290,0.0159,36.02,0.57,NA,NA
forecast.io,daily,2016-03-16 00:00,NA,rain,1,0.81,5.05,"Light rain until afternoon, starting again in the evening, and breezy until afternoon.",1000.35,18.87,NA,1458104400,294,0.0137,36.78,0.68,37.6,49.55
forecast.io,hourly,2016-03-15 22:00,NA,rain,1,0.9,10,Light Rain,995.59,10.21,47.62,1458097200,341,0.0519,44.71,0.73,NA,NA
forecast.io,daily,2016-03-14 00:00,NA,rain,0.92,0.91,5.5,Light rain in the morning and overnight.,1004.11,3.97,NA,1457931600,139,0.0032,49.56,0.57,47.13,58
forecast.io,hourly,2016-03-14 20:00,NA,NA,0.85,0.89,6.04,Mostly Cloudy,1003.17,5.78,57.78,1458003600,124,0,54.69,0,NA,NA
forecast.io,hourly,2016-03-16 06:00,NA,rain,1,0.87,1.65,Light Rain and Breezy,997.64,18.97,41.15,1458126000,293,0.0227,37.63,0.62,NA,NA
forecast.io,hourly,2016-03-15 01:00,NA,rain,0.97,0.95,4.87,Drizzle,1003.24,7.52,52.72,1458021600,126,0.0062,51.26,0.29,NA,NA
forecast.io,hourly,2016-03-15 10:00,NA,rain,1,0.92,4.97,Light Rain,999.91,10.6,53.95,1458054000,125,0.037,51.66,0.69,NA,NA
forecast.io,hourly,2016-03-15 21:00,NA,rain,1,0.9,10,Rain,995.52,9.39,48.55,1458093600,351,0.0745,45.65,0.77,NA,NA
forecast.io,hourly,2016-03-15 15:00,NA,rain,1,0.84,3.12,Rain,997.25,8.29,58.24,1458072000,127,0.1334,53.44,0.82,NA,NA
forecast.io,hourly,2016-03-15 17:00,NA,rain,1,0.86,5.46,Rain,996.33,4.92,54.39,1458079200,87,0.1708,50.38,0.84,NA,NA
forecast.io,hourly,2016-03-15 11:00,NA,rain,1,0.9,4.41,Light Rain,999.55,10.9,55.23,1458057600,128,0.0298,52.29,0.66,NA,NA
forecast.io,hourly,2016-03-15 23:00,NA,rain,1,0.9,8.31,Light Rain,995.62,11.33,46.4,1458100800,332,0.0409,43.55,0.7,NA,NA
forecast.io,hourly,2016-03-14 19:00,NA,NA,0.84,0.87,6.36,Mostly Cloudy,1003.07,5.5,58,1458000000,128,0,54.11,0,NA,NA
forecast.io,hourly,2016-03-14 22:00,NA,NA,0.92,0.94,5.65,Mostly Cloudy,1003.49,6.68,55.45,1458010800,131,0,53.67,0,NA,NA
forecast.io,daily,2016-03-17 00:00,NA,rain,0.95,0.82,6.79,Mixed precipitation until evening.,1009.36,11.63,NA,1458190800,343,0.0072,31.69,0.54,32.42,43.84
forecast.io,hourly,2016-03-15 03:00,NA,rain,0.98,0.96,5.65,Light Rain,1001.87,8.95,51.75,1458028800,127,0.0224,50.55,0.62,NA,NA
forecast.io,hourly,2016-03-15 18:00,NA,rain,1,0.88,6.99,Rain,996.05,6.18,52.05,1458082800,44,0.152,48.57,0.83,NA,NA
forecast.io,hourly,2016-03-14 16:00,NA,rain,0.88,0.85,5.82,Light Rain,1003.56,3.39,56.16,1457989200,119,0.0154,51.8,0.57,NA,NA
forecast.io,hourly,2016-03-15 13:00,NA,rain,1,0.85,1.94,Light Rain,998.54,11.64,57.77,1458064800,129,0.0362,53.37,0.68,NA,NA
forecast.io,hourly,2016-03-16 14:00,NA,rain,1,0.71,8.53,Breezy and Overcast,1001.49,23.19,42.94,1458154800,289,0.0037,34.22,0.14,NA,NA
forecast.io,hourly,2016-03-16 13:00,NA,rain,1,0.73,10,Breezy and Overcast,1001.11,23.15,42.63,1458151200,289,0.0043,34.48,0.17,NA,NA
