src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-16 08:00,2,301,1,77,Rain,996,41,100,0,82,29
wunder,hourly,2016-03-16 00:00,4,321,1,74,Rain,997,46,100,0,78,35
wunder,hourly,2016-03-15 22:00,6,310,1,77,Rain,998,48,100,0,80,26
wunder,hourly,2016-03-16 06:00,2,307,1,67,Rain,995,42,100,0,80,32
wunder,hourly,2016-03-15 01:00,9,113,0,0,Overcast,1003,53,93,0,88,14
wunder,hourly,2016-03-15 10:00,9,123,3,61,Rain,1001,52,100,0,87,19
wunder,hourly,2016-03-15 15:00,10,133,1,72,Rain,999,54,100,0,85,13
wunder,hourly,2016-03-15 17:00,9,113,1,71,Rain,998,54,100,0,84,11
wunder,hourly,2016-03-15 11:00,9,126,2,91,Rain,1000,53,100,0,86,21
wunder,hourly,2016-03-15 23:00,5,318,1,76,Rain,998,47,100,0,80,32
wunder,hourly,2016-03-15 07:00,9,119,0,45,Chance of Rain,1001,50,100,0,91,16
wunder,hourly,2016-03-16 09:00,2,301,1,74,Rain,996,41,100,0,79,32
wunder,hourly,2016-03-15 03:00,9,116,0,0,Fog,1002,51,100,0,90,18
wunder,hourly,2016-03-15 18:00,9,327,2,61,Rain,998,53,100,0,83,13
wunder,hourly,2016-03-15 13:00,10,131,2,73,Rain,1000,54,100,0,85,16
wunder,hourly,2016-03-15 00:00,9,116,0,15,Overcast,1003,53,94,0,88,14
wunder,hourly,2016-03-15 20:00,8,315,3,76,Rain,998,51,100,0,83,23
wunder,hourly,2016-03-15 16:00,10,122,1,55,Chance of Rain,998,54,93,0,85,11
wunder,hourly,2016-03-16 05:00,2,312,1,64,Rain,995,42,100,0,78,32
wunder,hourly,2016-03-15 12:00,9,126,1,90,Rain,1000,54,100,0,86,18
wunder,hourly,2016-03-16 11:00,2,296,1,86,Rain,997,42,100,0,75,37
wunder,hourly,2016-03-16 10:00,2,299,1,75,Rain,996,42,100,0,75,34
wunder,hourly,2016-03-15 14:00,10,128,1,95,Rain,1000,55,100,0,84,19
wunder,hourly,2016-03-15 02:00,9,113,0,0,Fog,1003,52,100,0,89,16
wunder,hourly,2016-03-16 02:00,3,319,1,72,Rain,996,44,100,0,81,35
wunder,hourly,2016-03-15 05:00,9,119,0,72,Chance of Rain,1001,51,97,0,90,21
wunder,hourly,2016-03-15 06:00,9,119,0,43,Chance of Rain,1001,51,97,0,91,21
wunder,hourly,2016-03-16 07:00,2,304,1,76,Rain,996,41,100,0,82,29
wunder,hourly,2016-03-15 08:00,9,126,1,49,Chance of Rain,1001,51,100,0,90,18
wunder,hourly,2016-03-16 03:00,3,319,1,71,Rain,996,43,100,0,83,34
wunder,hourly,2016-03-15 04:00,9,122,1,81,Rain,1002,51,100,0,90,21
wunder,hourly,2016-03-15 21:00,7,312,3,76,Rain,998,49,100,0,83,24
wunder,hourly,2016-03-16 01:00,4,320,1,76,Rain,996,45,100,0,79,37
wunder,hourly,2016-03-15 19:00,8,312,3,76,Rain,998,52,100,0,83,21
wunder,hourly,2016-03-16 04:00,3,316,1,88,Rain,995,43,100,0,81,32
wunder,hourly,2016-03-15 09:00,9,122,1,55,Chance of Rain,1001,52,99,0,89,21
