src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-11 22:00,6,194,0,1,Clear,1019,51,0,0,70,16
wunder,hourly,2016-03-11 18:00,6,183,0,0,Clear,1019,57,0,0,58,21
wunder,hourly,2016-03-11 06:00,-2,145,0,1,Clear,1026,34,17,0,80,8
wunder,hourly,2016-03-11 12:00,4,181,0,0,Clear,1024,57,3,0,53,21
wunder,hourly,2016-03-11 01:00,-1,168,0,0,Clear,1026,36,2,0,79,5
wunder,hourly,2016-03-10 17:00,-1,320,0,0,Clear,1023,43,19,0,62,6
wunder,hourly,2016-03-10 23:00,-1,165,0,0,Clear,1026,37,0,0,77,5
wunder,hourly,2016-03-11 17:00,6,185,0,0,Clear,1019,60,0,0,52,23
wunder,hourly,2016-03-11 07:00,-2,145,0,1,Clear,1026,35,19,0,76,10
wunder,hourly,2016-03-11 23:00,6,194,0,1,Clear,1019,51,0,0,72,16
wunder,hourly,2016-03-11 03:00,-1,162,0,0,Clear,1026,35,0,0,81,6
wunder,hourly,2016-03-11 08:00,-1,153,0,1,Clear,1026,38,4,0,70,11
wunder,hourly,2016-03-11 13:00,5,184,0,0,Clear,1023,60,6,0,50,23
wunder,hourly,2016-03-11 15:00,6,187,0,0,Clear,1020,62,0,0,47,24
wunder,hourly,2016-03-12 00:00,6,195,0,2,Clear,1019,50,0,0,73,14
wunder,hourly,2016-03-11 21:00,5,192,0,1,Clear,1019,52,0,0,65,18
wunder,hourly,2016-03-11 11:00,3,178,0,0,Clear,1025,53,4,0,57,19
wunder,hourly,2016-03-11 05:00,-2,148,0,1,Clear,1026,34,5,0,82,8
wunder,hourly,2016-03-11 16:00,6,186,0,0,Clear,1020,61,0,0,49,24
wunder,hourly,2016-03-11 19:00,6,185,0,0,Clear,1019,55,0,0,61,19
wunder,hourly,2016-03-10 20:00,0,173,0,0,Clear,1024,41,0,0,69,3
wunder,hourly,2016-03-10 19:00,0,189,0,0,Clear,1023,43,0,0,65,5
wunder,hourly,2016-03-11 00:00,-1,164,0,0,Clear,1026,36,2,0,78,5
wunder,hourly,2016-03-11 10:00,2,172,0,0,Clear,1025,48,2,0,60,18
wunder,hourly,2016-03-10 16:00,-1,309,0,0,Clear,1022,43,29,0,61,6
wunder,hourly,2016-03-10 14:00,-1,301,0,0,Partly Cloudy,1022,40,59,0,69,5
wunder,hourly,2016-03-11 14:00,6,184,0,0,Clear,1021,62,0,0,48,24
wunder,hourly,2016-03-11 04:00,-1,152,0,0,Clear,1026,35,2,0,82,6
wunder,hourly,2016-03-11 02:00,-1,164,0,0,Clear,1026,35,0,0,80,5
wunder,hourly,2016-03-10 18:00,0,311,0,0,Clear,1023,45,1,0,59,6
wunder,hourly,2016-03-10 22:00,-1,165,0,0,Clear,1025,38,0,0,77,5
wunder,hourly,2016-03-12 01:00,6,198,0,2,Clear,1018,49,0,0,76,14
wunder,hourly,2016-03-11 09:00,0,164,0,1,Clear,1026,43,2,0,64,14
wunder,hourly,2016-03-10 21:00,0,167,0,0,Clear,1025,39,0,0,74,5
wunder,hourly,2016-03-11 20:00,6,190,0,0,Clear,1019,54,0,0,63,18
wunder,hourly,2016-03-10 15:00,-1,303,0,0,Partly Cloudy,1022,42,38,0,63,6
